name,team,position,salary,projected_fpts,dk_avg_fpts,edge,value,floor,ceiling,player_type
Nathan MacKinnon,COL,C,10000,25.054075831378835,21.35,3.704075831378834,2.5054075831378837,6.263518957844709,67.6351895784471,skater
Zach Werenski,CBJ,D,8500,18.007785405601155,16.08,1.9277854056011563,2.1185629888942534,4.501946351400289,50.01946351400289,skater
Cale Makar,COL,D,8000,16.450848664578153,14.26,2.1908486645781533,2.056356083072269,4.112712166144538,46.127121661445386,skater
Martin Necas,COL,C,7000,15.461055539451282,12.58,2.881055539451282,2.208722219921612,3.8652638848628205,43.65263884862821,skater
Bo Horvat,NYI,C,7600,15.370973214734935,13.26,2.110973214734935,2.0224964756230177,3.8427433036837337,43.427433036837336,skater
Brady Tkachuk,OTT,W,7500,15.190074909112257,14.01,1.1800749091122569,2.0253433212149674,3.797518727278064,42.975187272780644,skater
Kirill Marchenko,CBJ,W,6700,14.408059678962415,12.37,2.0380596789624157,2.150456668501853,3.6020149197406037,41.020149197406035,skater
Mika Zibanejad,NYR,C,6600,13.810553246908947,12.1,1.7105532469089475,2.092508067713477,3.452638311727237,39.52638311727237,skater
Brock Nelson,COL,C,6900,13.36888367913708,11.69,1.6788836791370798,1.9375193737879823,3.34222091978427,38.4222091978427,skater
Tim Stützle,OTT,C,6800,12.785262612709072,12.03,0.7552626127090729,1.8801856783395694,3.196315653177268,36.96315653177268,skater
Matthew Schaefer,NYI,D,6000,12.337982191914968,10.06,2.277982191914967,2.056330365319161,3.084495547978742,35.844955479787416,skater
Travis Konecny,PHI,W,5500,12.09588663155276,10.14,1.9558866315527599,2.199252114827775,3.02397165788819,35.2397165788819,skater
Artturi Lehkonen,COL,W,5400,11.854643332388717,9.57,2.2846433323887165,2.195304320812725,2.963660833097179,34.6366083309718,skater
Valeri Nichushkin,COL,W,5100,11.657479599388013,8.97,2.6874795993880127,2.285780313605493,2.9143698998470033,34.14369899847003,skater
Trevor Zegras,PHI,C,5300,11.572327208049913,10.08,1.4923272080499128,2.1834579637830025,2.893081802012478,33.93081802012478,skater
Drake Batherson,OTT,W,5000,11.57051567298998,9.88,1.6905156729899797,2.314103134597996,2.892628918247495,33.92628918247495,skater
Owen Tippett,PHI,W,4900,11.48186197214677,9.74,1.7418619721467703,2.3432371371728102,2.8704654930366926,33.70465493036693,skater
Jake Sanderson,OTT,D,6300,11.233831319514852,11.6,-0.3661686804851474,1.783147828494421,2.808457829878713,33.08457829878713,skater
Mathew Barzal,NYI,C,6500,11.142732113366089,9.59,1.5527321133660887,1.7142664789793982,2.785683028341522,32.85683028341522,skater
J.T. Miller,NYR,C,5800,11.122964299382497,9.22,1.9029642993824964,1.9177524654107754,2.7807410748456243,32.80741074845624,skater
Adam Fantilli,CBJ,C,6100,10.97877490805501,9.76,1.2187749080550105,1.79979916525492,2.7446937270137526,32.446937270137525,skater
Brent Burns,COL,D,4300,10.827080927309886,8.35,2.4770809273098866,2.517925797048811,2.7067702318274716,32.06770231827471,skater
Vincent Trocheck,NYR,C,5600,10.736864908512771,9.55,1.1868649085127707,1.9172973050915665,2.684216227128193,31.84216227128193,skater
Dylan Cozens,OTT,C,5200,10.727835246056623,9.6,1.1278352460566232,2.0630452396262737,2.6819588115141557,31.819588115141556,skater
