Player,Roster Position,%Drafted,FPTS
Spencer Knight,G,21.84%,0
Fraser Minten,C,16.09%,0
Viktor Arvidsson,W,14.94%,0
Uvis Balinskis,D,12.64%,0
Kyle Connor,W,12.64%,0
Morgan Geekie,W,12.64%,0
Kirby Dach,W,10.34%,0
Mark Scheifele,C,10.34%,0
Gabriel Vilardi,W,10.34%,0
Sam Rinzel,D,9.20%,0
Evan Rodrigues,C,9.20%,0
Charlie McAvoy,D,9.20%,0
Charlie Coyle,C,8.05%,0
Matthew Tkachuk,W,6.90%,0
Marat Khusnutdinov,C,6.90%,0
David Pastrnak,W,6.90%,0
Connor Bedard,C,5.75%,0
Mathieu Olivier,UTIL,5.75%,0
Cole Perfetti,W,5.75%,0
Sam Reinhart,UTIL,5.75%,0
Matthew Poitras,UTIL,4.60%,0
Mason Marchment,W,4.60%,0
Carter Verhaeghe,W,4.60%,0
Nick Suzuki,UTIL,4.60%,0
Jet Greaves,G,4.60%,0
Mike Matheson,D,3.45%,0
Casey Mittelstadt,W,3.45%,0
Frank Nazar,W,3.45%,0
Damon Severson,D,3.45%,0
Adam Fantilli,C,3.45%,0
Zach Werenski,D,3.45%,0
Tyler Bertuzzi,W,3.45%,0
Cole Caufield,W,3.45%,0
Josh Morrissey,D,3.45%,0
Joonas Korpisalo,G,2.30%,0
Cole Sillinger,W,2.30%,0
Connor Murphy,D,2.30%,0
Anton Lundell,C,2.30%,0
Jason Dickinson,C,2.30%,0
Sam Montembeault,G,2.30%,0
Mason Lohrei,D,2.30%,0
Logan Stanley,D,2.30%,0
Jonathan Toews,C,2.30%,0
Vladislav Namestnikov,W,2.30%,0
Alexandre Carrier,D,2.30%,0
Eetu Luostarinen,W,2.30%,0
Oliver Moore,C,1.15%,0
Andre Burakovsky,W,1.15%,0
Juraj Slafkovsky,W,1.15%,0
Ryan Donato,UTIL,1.15%,0
Dylan Samberg,D,1.15%,0
Mackie Samoskevich,W,1.15%,0
Isac Lundestrom,W,1.15%,0
Boone Jenner,C,1.15%,0
Ilya Mikheyev,UTIL,1.15%,0
Connor Hellebuyck,G,1.15%,0
Hampus Lindholm,D,1.15%,0
Noah Dobson,UTIL,1.15%,0
Alex Vlasic,D,1.15%,0
Dante Fabbro,D,1.15%,0
Sam Bennett,C,1.15%,0
Tanner Jeannot,UTIL,1.15%,0
Niko Mikkola,D,1.15%,0
Aaron Ekblad,D,1.15%,0
