Date,Team,Opp,Win %,Total,TeamGoal,OppGoal
1.23.26,COL,vs PHI,62.30%,6.5,4.18,3.25
1.23.26,WSH,@ CGY,45.90%,6,3,2.8
1.23.26,SEA,vs ANA,47.10%,6,3.14,3
1.23.26,TB,@ CHI,61.40%,6,3,2.24
1.23.26,DAL,vs STL,48.60%,5.5,3.07,2.75
1.23.26,SJ,vs NYR,44.60%,6.5,3.38,3.25
1.23.26,TOR,vs VGK,58.30%,6.5,3.2,3.25
1.23.26,CGY,vs WSH,54.10%,6,2.8,3
1.23.26,ANA,@ SEA,52.90%,6,3,3.14
1.23.26,VAN,vs NJ,52.80%,6,2.77,3
1.23.26,NJ,@ VAN,47.20%,6,3,2.77
1.23.26,VGK,@ TOR,41.70%,6.5,3.25,3.2
1.23.26,STL,@ DAL,51.40%,5.5,2.75,3.07
1.23.26,CHI,vs TB,38.60%,6,2.24,3
1.23.26,PHI,@ COL,37.70%,6.5,3.25,4.18
1.23.26,NYR,@ SJ,55.40%,6.5,3.25,3.38
1.26.26,NYR,vs BOS,54.50%,6.5,3.2,3.25
1.26.26,BOS,@ NYR,45.50%,6.5,3.25,3.2
1.26.26,TB,vs UTA,49.40%,6,3.37,3
1.26.26,EDM,vs ANA,60.90%,7,4.4,3.5
1.26.26,UTA,@ TB,50.60%,6,3,3.37
1.26.26,PHI,vs NYI,43.30%,6,3.09,3
1.26.26,NYI,@ PHI,56.70%,6,3,3.09
1.26.26,ANA,@ EDM,39.10%,7,3.5,4.4
1.28.26,COL,@ OTT,49.50%,6.5,3.25,3.02
1.28.26,NYI,vs NYR,45.80%,6.5,3.5,3.25
1.28.26,PHI,@ CBJ,56.00%,6.5,3.25,3.35
1.28.26,CBJ,vs PHI,44.00%,6.5,3.35,3.25
1.28.26,OTT,vs COL,50.50%,6.5,3.02,3.25
1.28.26,NYR,@ NYI,54.20%,6.5,3.25,3.5
1.29.26,DAL,@ VGK,53.50%,6,3,3.14
1.29.26,WSH,@ DET,56.00%,6.5,3.25,3.43
1.29.26,VGK,vs DAL,46.50%,6,3.14,3
1.29.26,DET,vs WSH,44.00%,6.5,3.43,3.25
1.29.26,SJ,@ EDM,47.10%,7,3.5,4.05
1.29.26,NSH,@ NJ,53.60%,6,3,3.19
1.29.26,NJ,vs NSH,46.40%,6,3.19,3
1.29.26,NYI,@ NYR,47.20%,6,3,2.82
1.29.26,MIN,vs CGY,51.30%,6,3.46,3
1.29.26,COL,@ MTL,44.90%,6.5,3.25,3.17
1.29.26,BOS,vs PHI,48.10%,6.5,3.62,3.25
1.29.26,BUF,vs LA,43.50%,5.5,2.87,2.75
1.29.26,SEA,vs TOR,41.50%,6,3.02,3
1.29.26,UTA,@ CAR,49.40%,6,3,3.44
1.29.26,STL,vs FLA,51.30%,5.5,2.54,2.75
1.29.26,CHI,@ PIT,49.30%,6.5,3.25,3.71
1.29.26,PIT,vs CHI,50.70%,6.5,3.71,3.25
1.29.26,LA,@ BUF,56.50%,5.5,2.75,2.87
1.29.26,CGY,@ MIN,48.70%,6,3,3.46
1.29.26,MTL,vs COL,55.10%,6.5,3.17,3.25
1.29.26,FLA,@ STL,48.70%,5.5,2.75,2.54
1.29.26,TB,vs WPG,51.80%,5.5,3.2,2.75
1.29.26,EDM,vs SJ,52.90%,7,4.05,3.5
1.29.26,CAR,vs UTA,50.60%,6,3.44,3
1.29.26,NYR,vs NYI,52.80%,6,2.82,3
1.29.26,TOR,@ SEA,58.50%,6,3,3.02
1.29.26,WPG,@ TB,48.20%,5.5,2.75,3.2
1.29.26,VAN,vs ANA,51.20%,6.5,3.01,3.25
1.29.26,ANA,@ VAN,48.80%,6.5,3.25,3.01
1.29.26,PHI,@ BOS,51.90%,6.5,3.25,3.62
1.31.26,TOR,@ VAN,47.50%,6.5,3.25,3.07
1.31.26,VAN,vs TOR,52.50%,6.5,3.07,3.25
1.31.26,MIN,@ EDM,53.50%,6.5,3.25,3.42
1.31.26,DAL,@ UTA,54.20%,5.5,2.75,2.81
1.31.26,SEA,@ VGK,46.60%,6,3,3.51
1.31.26,NSH,@ NYI,55.60%,5.5,2.75,2.91
1.31.26,OTT,vs NJ,50.50%,5.5,3.11,2.75
1.31.26,MTL,@ BUF,56.00%,6.5,3.25,3.43
1.31.26,CBJ,@ STL,56.00%,6,3,3.06
1.31.26,STL,vs CBJ,44.00%,6,3.06,3
1.31.26,NJ,@ OTT,49.50%,5.5,2.75,3.11
1.31.26,NYI,vs NSH,44.40%,5.5,2.91,2.75
1.31.26,UTA,vs DAL,45.80%,5.5,2.81,2.75
1.31.26,VGK,vs SEA,53.40%,6,3.51,3
1.31.26,BUF,vs MTL,44.00%,6.5,3.43,3.25
1.31.26,EDM,vs MIN,46.50%,6.5,3.42,3.25
2.1.26,TB,vs BOS,54.90%,6,3.58,3
2.1.26,LA,@ CAR,49.40%,5.5,2.75,3.15
2.1.26,CAR,vs LA,50.60%,5.5,3.15,2.75
2.1.26,BOS,@ TB,45.10%,6,3,3.58
2.1.26,ANA,vs VGK,42.90%,6.5,3.35,3.25
2.1.26,VGK,@ ANA,57.10%,6.5,3.25,3.35
2.2.26,MIN,vs MTL,44.90%,6.5,3.43,3.25
2.2.26,MTL,@ MIN,55.10%,6.5,3.25,3.43
2.2.26,DAL,vs WPG,46.50%,5.5,3,2.75
2.2.26,WPG,@ DAL,53.50%,5.5,2.75,3
2.2.26,TOR,@ CGY,44.40%,6,3,2.98
2.2.26,DET,@ COL,47.10%,6.5,3.25,3.81
2.2.26,VAN,@ UTA,39.10%,6.5,3.25,4.14
2.2.26,WSH,vs NYI,46.80%,6.5,3.42,3.25
2.2.26,OTT,@ PIT,41.70%,6.5,3.25,3.15
2.2.26,BUF,@ FLA,54.80%,6.5,3.25,3.33
2.2.26,CHI,vs SJ,55.70%,6.5,3.25,3.25
2.2.26,UTA,vs VAN,60.90%,6.5,4.14,3.25
2.2.26,STL,@ NSH,53.20%,6,3,3.27
2.2.26,CGY,vs TOR,55.60%,6,2.98,3
2.2.26,FLA,vs BUF,45.20%,6.5,3.33,3.25
2.2.26,PIT,vs OTT,58.30%,6.5,3.15,3.25
2.2.26,COL,vs DET,52.90%,6.5,3.81,3.25
2.2.26,NYI,@ WSH,53.20%,6.5,3.25,3.42
2.2.26,NSH,vs STL,46.80%,6,3.27,3
2.2.26,SJ,@ CHI,44.30%,6.5,3.25,3.25
2.3.26,NYI,vs PIT,55.20%,5.5,2.7,2.75
2.3.26,TB,vs BUF,55.70%,6.5,3.87,3.25
2.3.26,SEA,@ ANA,52.20%,6,3,3.23
2.3.26,CAR,vs OTT,50.00%,6.5,3.69,3.25
2.3.26,WSH,@ PHI,50.30%,6,3,3.25
2.3.26,TOR,@ EDM,48.30%,7,3.5,4.04
2.3.26,BUF,@ TB,44.30%,6.5,3.25,3.87
2.3.26,ANA,vs SEA,47.80%,6,3.23,3
2.3.26,PHI,vs WSH,49.70%,6,3.25,3
2.3.26,EDM,vs TOR,51.70%,7,4.04,3.5
2.3.26,PIT,@ NYI,44.80%,5.5,2.75,2.7
2.3.26,OTT,@ CAR,50.00%,6.5,3.25,3.69
2.3.26,NJ,vs CBJ,44.90%,6,3.02,3
2.3.26,CBJ,@ NJ,55.10%,6,3,3.02
2.4.26,BOS,@ FLA,48.30%,6.5,3.25,3.65
2.4.26,FLA,vs BOS,51.70%,6.5,3.65,3.25
2.4.26,MIN,@ NSH,45.70%,6.5,3.25,3.2
2.4.26,NSH,vs MIN,54.30%,6.5,3.2,3.25
2.4.26,COL,vs SJ,61.90%,6.5,4.15,3.25
2.4.26,CBJ,vs CHI,47.90%,5.5,3.06,2.75
2.4.26,VGK,vs VAN,62.00%,6.5,4.18,3.25
2.4.26,DAL,vs STL,54.50%,6,3.6,3
2.4.26,LA,vs SEA,52.70%,5.5,3.15,2.75
2.4.26,SEA,@ LA,47.30%,5.5,2.75,3.15
2.4.26,VAN,@ VGK,38.00%,6.5,3.25,4.18
