name,team,position,actual_fpts,projected_fpts,error,abs_error,salary,date
M. Boldy,MIN,L,48.5,13.185724831974378,-35.314275168025624,35.314275168025624,7600,2026-02-04
A. Lundell,FLA,C,33.6,8.94631224333239,-24.653687756667612,24.653687756667612,4500,2026-02-04
S. Stamkos,NSH,C,33.5,9.854998618155,-23.645001381845,23.645001381845,5500,2026-02-04
R. Josi,NSH,D,29.8,11.602128660998886,-18.197871339001114,18.197871339001114,7000,2026-02-04
J. Anderson,MTL,R,28.0,4.886416285448514,-23.113583714551485,23.113583714551485,2500,2026-02-04
J. Benn,DAL,L,28.0,5.817538167259663,-22.182461832740337,22.182461832740337,3100,2026-02-04
L. Draisaitl,EDM,C,27.5,13.085467664482714,-14.414532335517286,14.414532335517286,9300,2026-02-04
A. Lehkonen,COL,L,27.5,8.986079242691465,-18.513920757308533,18.513920757308533,5600,2026-02-04
N. Schmaltz,UTA,C,26.8,9.775924817959345,-17.024075182040654,17.024075182040654,6300,2026-02-04
F. Forsberg,NSH,L,25.5,10.900236202325546,-14.599763797674454,14.599763797674454,7500,2026-02-04
J. Robertson,DAL,L,25.5,14.005455543599544,-11.494544456400456,11.494544456400456,7900,2026-02-04
J. Greaves,CBJ,G,24.7,7.879987650695113,-16.820012349304886,16.820012349304886,8100,2026-02-04
J. Eichel,VGK,C,24.0,13.596739704453556,-10.403260295546444,10.403260295546444,9400,2026-02-04
D. Cooley,CGY,G,23.7,8.189106025961875,-15.510893974038124,15.510893974038124,7500,2026-02-04
E. Bouchard,EDM,D,23.6,12.845727936920383,-10.754272063079618,10.754272063079618,7600,2026-02-04
A. Kuzmenko,LAK,L,23.0,5.28159285179743,-17.71840714820257,17.71840714820257,3000,2026-02-04
B. Gallagher,MTL,R,23.0,4.8239725835231795,-18.17602741647682,18.17602741647682,2500,2026-02-04
M. Eyssimont,BOS,C,23.0,5.787299642554333,-17.212700357445666,17.212700357445666,2500,2026-02-04
K. Vejmelka,UTA,G,22.799999999999997,6.372864030244292,-16.427135969755703,16.427135969755703,7900,2026-02-04
V. Nichushkin,COL,R,22.3,8.568144043725914,-13.731855956274087,13.731855956274087,5300,2026-02-04
R. O'Reilly,NSH,C,22.1,9.613344650085764,-12.486655349914237,12.486655349914237,5500,2026-02-04
P. Dorofeyev,VGK,R,22.0,10.037041628262044,-11.962958371737956,11.962958371737956,6400,2026-02-04
Y. Trenin,MIN,C,22.0,3.811441555917344,-18.188558444082656,18.188558444082656,2500,2026-02-04
K. Connor,WPG,L,20.5,13.09515926736592,-7.40484073263408,7.40484073263408,7300,2026-02-04
C. McDavid,EDM,C,20.0,15.733066818181657,-4.266933181818343,4.266933181818343,10300,2026-02-04
S. Wright,SEA,C,20.0,5.357203697382124,-14.642796302617876,14.642796302617876,3200,2026-02-04
M. Heiskanen,DAL,D,19.9,9.966052642044644,-9.933947357955354,9.933947357955354,6000,2026-02-04
M. Tkachuk,FLA,L,19.5,9.55541922847475,-9.94458077152525,9.94458077152525,6600,2026-02-04
A. Larsson,SEA,D,19.5,5.545059884326964,-13.954940115673036,13.954940115673036,3000,2026-02-04
J. Kyrou,STL,R,19.5,9.529778214406534,-9.970221785593466,9.970221785593466,5500,2026-02-04
M. Duchene,DAL,C,19.3,6.722168126543533,-12.577831873456468,12.577831873456468,3900,2026-02-04
M. Gridin,CGY,R,19.3,5.7405778189016665,-13.559422181098334,13.559422181098334,2900,2026-02-04
C. Keller,UTA,R,19.3,9.736586701776728,-9.563413298223272,9.563413298223272,6500,2026-02-04
Y. Askarov,SJS,G,19.099999999999998,4.7261928135945706,-14.373807186405427,14.373807186405427,7100,2026-02-04
B. Nelson,COL,C,19.0,10.465460501180402,-8.534539498819598,8.534539498819598,6500,2026-02-04
V. Tarasenko,MIN,R,19.0,7.529001079226896,-11.470998920773104,11.470998920773104,3800,2026-02-04
U. Balinskis,FLA,D,17.8,5.09498958790768,-12.70501041209232,12.70501041209232,3200,2026-02-04
D. Nurse,EDM,D,17.4,7.895549420680967,-9.50445057931903,9.50445057931903,4200,2026-02-04
R. Hintz,DAL,C,16.8,9.540811841290942,-7.259188158709058,7.259188158709058,5400,2026-02-04
K. Kaprizov,MIN,L,16.8,12.975476570479373,-3.824523429520628,3.824523429520628,8800,2026-02-04
J. Daccord,SEA,G,16.5,7.1451716746934215,-9.354828325306578,9.354828325306578,7400,2026-02-04
J. Snuggerud,STL,R,16.3,7.159630179039514,-9.140369820960487,9.140369820960487,3700,2026-02-04
