name,team,actual_fpts,projected_fpts,error,position,date
J. Eichel,VGK,13.5,21.665419203108915,8.165419203108915,C,2026-01-23
P. Dorofeyev,VGK,8.5,14.30547984916485,5.8054798491648505,W,2026-01-23
R. Smith,VGK,5.0,6.135427690848885,1.1354276908488847,W,2026-01-23
A. Holtz,VGK,5.0,5.428964750182611,0.4289647501826108,W,2026-01-23
B. Bowman,VGK,8.5,8.026333142315819,-0.47366685768418115,W,2026-01-23
T. Hertl,VGK,0.0,15.328213418520289,15.328213418520289,C,2026-01-23
I. Barbashev,VGK,11.3,9.625141758600634,-1.6748582413993667,W,2026-01-23
K. Kolesar,VGK,8.5,4.400415518239581,-4.099584481760419,W,2026-01-23
M. Stone,VGK,27.6,19.2505593053601,-8.349440694639902,W,2026-01-23
M. Marner,VGK,0.0,13.579316441135877,13.579316441135877,W,2026-01-23
J. Lauzon,VGK,6.9,6.581780270446152,-0.3182197295538485,D,2026-01-23
K. Korczak,VGK,1.3,6.881337749583248,5.581337749583248,D,2026-01-23
N. Hanifin,VGK,6.9,11.814033467524334,4.914033467524334,D,2026-01-23
B. Hutton,VGK,0.0,8.407104774597945,8.407104774597945,D,2026-01-23
S. Theodore,VGK,2.6,13.697515485837368,11.097515485837368,D,2026-01-23
M. Domi,TOR,5.0,7.872995596028082,2.8729955960280824,C,2026-01-23
S. Lorentz,TOR,1.3,5.633083685813616,4.333083685813616,C,2026-01-23
C. Jarnkrok,TOR,0.0,4.991544719923055,4.991544719923055,C,2026-01-23
M. Knies,TOR,10.0,11.792905988884335,1.7929059888843355,W,2026-01-23
S. Laughton,TOR,8.5,6.279736385945042,-2.220263614054958,C,2026-01-23
A. Matthews,TOR,0.0,18.192747522072157,18.192747522072157,C,2026-01-23
E. Cowan,TOR,1.3,7.583966793826977,6.283966793826977,W,2026-01-23
N. Roy,TOR,1.3,5.790970635354963,4.490970635354963,C,2026-01-23
M. Maccelli,TOR,5.0,6.977444602306193,1.9774446023061927,W,2026-01-23
B. McMann,TOR,8.5,9.762117306292865,1.2621173062928648,C,2026-01-23
N. Robertson,TOR,1.3,8.698283653360313,7.398283653360314,W,2026-01-23
J. Tavares,TOR,8.5,13.658023256017897,5.158023256017897,C,2026-01-23
S. Benoit,TOR,0.0,4.570532982097642,4.570532982097642,D,2026-01-23
J. McCabe,TOR,0.0,7.004969787216377,7.004969787216377,D,2026-01-23
B. Carlo,TOR,0.0,6.1552131274398025,6.1552131274398025,D,2026-01-23
M. Rielly,TOR,7.6,11.441729568532208,3.841729568532209,D,2026-01-23
O. Ekman-Larsson,TOR,1.3,10.47621193726422,9.176211937264219,D,2026-01-23
D. James,TBL,1.3,5.68665208620115,4.38665208620115,C,2026-01-23
N. Paul,TBL,1.3,7.118244825338602,5.818244825338602,W,2026-01-23
O. Bjorkstrand,TBL,0.0,7.918473478696469,7.918473478696469,W,2026-01-23
Z. Girgensons,TBL,0.0,5.9461076764696585,5.9461076764696585,C,2026-01-23
P. Holmberg,TBL,1.3,6.961798457730574,5.661798457730574,W,2026-01-23
Y. Gourde,TBL,0.0,6.85395856179403,6.85395856179403,C,2026-01-23
B. Hagel,TBL,5.0,17.656936347731243,12.656936347731243,W,2026-01-23
J. Guentzel,TBL,1.3,16.326000093317127,15.026000093317126,C,2026-01-23
J. Finley,TBL,0.0,3.763903789424272,3.763903789424272,C,2026-01-23
A. Cirelli,TBL,6.3,10.832562142976949,4.532562142976949,C,2026-01-23
N. Kucherov,TBL,8.5,21.63131241668452,13.13131241668452,W,2026-01-23
G. Goncalves,TBL,0.0,5.55293151645879,5.55293151645879,C,2026-01-23
M. Crozier,TBL,0.0,7.928457283589921,7.928457283589921,D,2026-01-23
D. Raddysh,TBL,1.3,16.470197832024827,15.170197832024826,D,2026-01-23
C. D'Astous,TBL,1.3,8.563515485843766,7.263515485843766,D,2026-01-23
D. Carlile,TBL,1.3,5.360410833692916,4.0604108336929166,D,2026-01-23
E. Cernak,TBL,0.0,5.68263630118109,5.68263630118109,D,2026-01-23
J. Moser,TBL,2.6,8.79198222948371,6.19198222948371,D,2026-01-23
R. Donato,CHI,0.0,7.302571098165146,7.302571098165146,C,2026-01-23
O. Moore,CHI,5.0,6.067920448585822,1.0679204485858218,C,2026-01-23
J. Dickinson,CHI,0.0,5.8542913030755805,5.8542913030755805,C,2026-01-23
N. Foligno,CHI,1.3,5.041954777456156,3.741954777456156,W,2026-01-23
R. Greene,CHI,9.8,6.0892223784381025,-3.710777621561898,C,2026-01-23
A. Burakovsky,CHI,1.3,8.589765298276113,7.289765298276113,W,2026-01-23
T. Bertuzzi,CHI,1.3,12.59840531037353,11.298405310373528,W,2026-01-23
N. Lardis,CHI,6.3,6.985598567363186,0.6855985673631864,W,2026-01-23
L. Slaggert,CHI,1.3,4.421806165648415,3.1218061656484153,W,2026-01-23
F. Nazar,CHI,0.0,9.619526217665134,9.619526217665134,C,2026-01-23
I. Mikheyev,CHI,0.0,7.275681583940241,7.275681583940241,W,2026-01-23
C. Bedard,CHI,1.3,18.394773303632185,17.094773303632184,C,2026-01-23
C. Murphy,CHI,6.9,5.67582407306565,-1.2241759269343504,D,2026-01-23
W. Kaiser,CHI,0.0,6.452389543621611,6.452389543621611,D,2026-01-23
L. Crevier,CHI,0.0,7.955346798237096,7.955346798237096,D,2026-01-23
M. Grzelcyk,CHI,0.0,6.094969279531549,6.094969279531549,D,2026-01-23
A. Levshunov,CHI,0.0,8.034427652723766,8.034427652723766,D,2026-01-23
A. Vlasic,CHI,6.9,6.232728123713237,-0.6672718762867635,D,2026-01-23
R. Fabbri,STL,1.3,5.101208409982874,3.8012084099828742,C,2026-01-23
B. Schenn,STL,1.3,6.675815539522484,5.375815539522484,C,2026-01-23
A. Toropchenko,STL,1.3,4.316078318524637,3.016078318524637,W,2026-01-23
