date,player_name,actual_fpts,position,max_speed_mph,speed_percentile,bursts_over_20,bursts_percentile,oz_time_pct,oz_time_percentile,shot_speed_mph,shot_speed_percentile,oz_time_percentile_tier,speed_percentile_tier,bursts_percentile_tier
2026-01-22,Connor McDavid,1.5,C,24.6119,1.0,475,1.0,0.47684205,0.9830917874396,82.05,0.3221,Top 33%,Top 33%,Top 33%
2026-01-22,Zach Hyman,6.0,W,23.062,0.8928,79,0.7452,0.49019551,0.9975845410628,78.81,0.1735,Top 33%,Top 33%,Top 33%
2026-01-22,Matt Duchene,3.0,C,21.3739,0.181,30,0.3638,0.40802812,0.3236714975845,84.21,0.485,Bottom 33%,Bottom 33%,Middle 33%
2026-01-22,Jake Walman,15.0,D,21.7435,0.5563,8,0.3106,0.41259718,0.4513274336283,98.1,0.9452,Middle 33%,Middle 33%,Bottom 33%
2026-01-22,Cole Caufield,11.5,W,22.5702,0.6977,70,0.6977,0.45922195,0.9202898550725,88.0,0.7451,Top 33%,Top 33%,Top 33%
2026-01-22,Ryan O'Reilly,19.5,C,22.1415,0.4921,50,0.5413,0.45738001,0.9178743961353,84.82,0.5292,Top 33%,Middle 33%,Middle 33%
2026-01-22,Ryan Nugent-Hopkins,0.0,C,22.7683,0.7996,41,0.4411,0.46394012,0.9492753623188,88.46,0.7858,Top 33%,Top 33%,Middle 33%
2026-01-22,Alexander Nikishin,2.8,D,22.3808,0.8089,44,0.8532,0.46146118,0.9513274336283,98.97,0.9623,Top 33%,Top 33%,Top 33%
2026-01-22,Nick Suzuki,19.3,UTIL,22.7919,0.8067,140,0.949,0.44827841,0.8357487922705,86.02,0.6,Top 33%,Top 33%,Top 33%
2026-01-22,Seth Jarvis,6.0,W,23.3801,0.9473,120,0.9016,0.47757869,0.9855072463768,88.16,0.7575,Top 33%,Top 33%,Top 33%
2026-01-22,Vladimir Tarasenko,4.5,W,21.9338,0.3796,29,0.355,0.42480366,0.5265700483092,84.48,0.5027,Middle 33%,Middle 33%,Middle 33%
2026-01-22,Filip Forsberg,11.0,W,21.7617,0.3076,28,0.348,0.4657897,0.963768115942,90.3,0.8779,Top 33%,Bottom 33%,Middle 33%
2026-01-22,Sebastian Aho,4.5,C,22.1803,0.5114,99,0.8366,0.47764783,0.987922705314,84.34,0.4973,Top 33%,Middle 33%,Top 33%
2026-01-22,Roope Hintz,3.0,C,23.607,0.9789,255,0.9965,0.4487148,0.8405797101449,92.03,0.915,Top 33%,Top 33%,Top 33%
2026-01-22,Andrei Svechnikov,4.3,W,23.0098,0.8699,98,0.8313,0.48924671,0.9951690821256,96.06,0.9805,Top 33%,Top 33%,Top 33%
2026-01-22,Wyatt Johnston,5.8,W,22.0477,0.4218,60,0.6151,0.43949079,0.7342995169082,84.89,0.5434,Top 33%,Middle 33%,Middle 33%
2026-01-22,Evan Bouchard,12.3,D,21.9746,0.6451,56,0.9078,0.47181536,0.9823008849558,98.08,0.9418,Top 33%,Middle 33%,Top 33%
2026-01-22,Lane Hutson,6.0,D,22.9676,0.9454,112,0.9829,0.46194224,0.9557522123894,90.18,0.5,Top 33%,Top 33%,Top 33%
2026-01-22,Jason Robertson,3.0,UTIL,22.5097,0.6766,42,0.4552,0.45648477,0.9033816425121,90.18,0.8708,Top 33%,Top 33%,Middle 33%
2026-01-22,Luke Evangelista,11.3,W,22.4108,0.6221,49,0.5325,0.47634511,0.9806763285024,80.44,0.2336,Top 33%,Middle 33%,Middle 33%
2026-01-22,Kirby Dach,1.3,W,23.4167,0.9578,44,0.471,0.41616523,0.4275362318841,83.2,0.4124,Middle 33%,Top 33%,Middle 33%
2026-01-22,Mats Zuccarello,28.0,W,21.0097,0.0914,13,0.2091,0.46234131,0.9420289855072,84.9,0.5451,Top 33%,Bottom 33%,Bottom 33%
2026-01-22,Kirill Kaprizov,40.0,W,22.092,0.4534,55,0.5835,0.45708851,0.9106280193237,87.78,0.7292,Top 33%,Middle 33%,Middle 33%
2026-01-22,Ivan Demidov,4.3,W,22.3942,0.6151,109,0.8594,0.45735729,0.9154589371981,88.82,0.8053,Top 33%,Middle 33%,Top 33%
2026-01-22,Roman Josi,12.3,D,21.3778,0.3891,37,0.802,0.46248863,0.9601769911504,96.74,0.9041,Top 33%,Middle 33%,Top 33%
2026-01-22,Nikolaj Ehlers,5.8,W,23.0473,0.8875,116,0.8875,0.46855598,0.9734299516908,93.63,0.9522,Top 33%,Top 33%,Top 33%
