player_id,player_name,position,team,opponent,game_date,expected_fpts,median_fpts,std_fpts,floor_fpts,ceiling_fpts,p_above_10,p_above_15,p_above_20,p_above_25,p_hat_trick,p_3plus_points,p_5plus_sog,p_3plus_blocks,exp_goals,exp_assists,exp_shots,exp_blocks,n_historical_games,actual_fpts,error
8471817,R. Reaves,R,SJS,WPG,2025-11-07,6.066039999999999,3.0,7.846371054086086,0.0,14.5,0.2116,0.0966,0.0538,0.0328,0.0148,0.0408,0.0744,0.0276,0.2226,0.242,1.5066,0.3348,10,-0.5,6.566039999999999
8473422,N. Foligno,L,CHI,CGY,2025-11-07,5.80768,3.0,7.337877146532231,0.0,13.5,0.1984,0.0836,0.043,0.0242,0.0104,0.0368,0.0696,0.0422,0.1408,0.3122,1.4088,0.5256,11,4.1,1.7076800000000008
8473604,J. Toews,C,WPG,SJS,2025-11-07,6.8737,4.5,8.108623453459904,0.0,16.5,0.2428,0.113,0.063,0.037,0.013,0.051,0.0804,0.0512,0.1946,0.3616,1.5352,0.604,13,5.1,1.7737000000000007
8474037,J. van Riemsdyk,L,DET,NYR,2025-11-07,5.661239999999999,3.0,6.932156782877894,0.0,13.0,0.1854,0.0758,0.041,0.0238,0.0118,0.0312,0.0718,0.0508,0.1672,0.2084,1.4566,0.5858,11,1.3,4.36124
8474141,P. Kane,R,DET,NYR,2025-11-07,7.61534,5.0,8.051215727106062,0.0,18.0,0.2928,0.137,0.0752,0.042,0.0154,0.06,0.0818,0.038,0.26,0.391,1.7196,0.4038,5,11.5,3.8846600000000002
8474150,M. Backlund,C,CGY,CHI,2025-11-07,7.09582,4.5,8.214453391894072,0.0,16.5,0.262,0.1192,0.0648,0.0358,0.0146,0.0444,0.1194,0.0328,0.2154,0.2854,2.0268,0.3604,15,6.8,0.29581999999999997
8474568,L. Schenn,D,WPG,SJS,2025-11-07,5.1849,3.0,6.091231237607057,0.0,11.4,0.143,0.0544,0.0284,0.0152,0.0066,0.0204,0.0394,0.1794,0.0776,0.1694,1.0884,1.343,10,2.6,2.5848999999999998
8474612,T. Hamonic,D,DET,NYR,2025-11-07,5.665080000000001,4.1,6.322764948469933,0.0,12.2,0.1606,0.062,0.0318,0.0162,0.0052,0.0228,0.0398,0.2012,0.0802,0.2098,1.1326,1.4696,7,-0.5,6.165080000000001
8474716,J. Spurgeon,D,MIN,NYI,2025-11-07,5.88236,4.3,6.030925370985782,0.0,12.8,0.1758,0.0662,0.0332,0.0156,0.004,0.0224,0.0446,0.2122,0.072,0.2146,1.2524,1.5252,15,8.9,3.01764
8475149,M. Johansson,L,MIN,NYI,2025-11-07,7.881979999999999,5.6,8.330287466804492,0.0,18.3,0.3034,0.1422,0.0822,0.046,0.018,0.0584,0.0876,0.0294,0.3022,0.374,1.734,0.3816,15,7.5,0.38197999999999865
8475151,K. Palmieri,C,NYI,MIN,2025-11-07,8.6283,6.0,8.446490461132363,1.3,19.5,0.3358,0.1628,0.0938,0.0546,0.015,0.06,0.142,0.0492,0.2562,0.3724,2.3058,0.549,13,3.5,5.128299999999999
8475172,N. Kadri,C,CGY,CHI,2025-11-07,8.39412,6.0,8.266110416973632,1.3,18.5,0.334,0.155,0.0844,0.0462,0.016,0.055,0.146,0.0414,0.2362,0.3832,2.3152,0.4594,15,4.0,4.394119999999999
8475200,D. Orlov,D,SJS,WPG,2025-11-07,7.6219,5.8,7.954090921657861,1.3,16.2,0.2676,0.1178,0.063,0.032,0.0092,0.055,0.057,0.1728,0.1012,0.5104,1.3982,1.3,14,4.6,3.0219000000000005
8475220,M. Foligno,L,MIN,NYI,2025-11-07,4.82302,2.8,6.725763308324194,0.0,11.3,0.1344,0.0564,0.032,0.0204,0.0102,0.0236,0.0558,0.0608,0.1246,0.141,1.3034,0.6814,14,7.0,2.1769800000000004
8475231,C. Cizikas,C,NYI,MIN,2025-11-07,5.504519999999999,3.0,7.6695767529636205,0.0,13.0,0.1756,0.0802,0.0436,0.0258,0.0116,0.0374,0.0524,0.0528,0.1686,0.2426,1.2206,0.5964,13,8.9,3.395480000000001
8475279,B. Chiarot,D,DET,NYR,2025-11-07,5.576460000000001,4.3,5.823442613128424,0.0,12.0,0.1598,0.0548,0.0246,0.0136,0.0046,0.0172,0.0356,0.2322,0.0704,0.191,1.08,1.5922,14,3.6,1.9764600000000008
8475314,A. Lee,L,NYI,MIN,2025-11-07,8.13894,6.0,7.76266459898919,1.3,18.0,0.3064,0.1442,0.077,0.0388,0.0128,0.048,0.1382,0.0518,0.1864,0.3946,2.2906,0.5948,13,7.5,0.6389399999999998
8475692,M. Zuccarello,R,MIN,NYI,2025-11-07,7.17104,4.5,7.877852329055172,0.0,17.0,0.2602,0.117,0.065,0.0382,0.0158,0.0474,0.09,0.042,0.2356,0.3142,1.7828,0.4628,0,6.0,1.1710399999999996
8475726,T. Toffoli,C,SJS,WPG,2025-11-07,8.37952,6.0,8.783043240790745,0.0,18.8,0.319,0.1624,0.087,0.0538,0.0204,0.0558,0.1218,0.056,0.3008,0.3046,2.0544,0.6244,14,5.5,2.8795199999999994
8475765,V. Tarasenko,R,MIN,NYI,2025-11-07,7.4340399999999995,5.0,8.181739746435351,0.0,17.0,0.2702,0.1272,0.0668,0.0408,0.0126,0.0568,0.1002,0.0316,0.194,0.4264,1.8518,0.4118,15,7.3,0.13403999999999971
8475784,J. Skinner,L,SJS,WPG,2025-11-07,7.1576,4.5,8.006838217423903,0.0,17.0,0.277,0.1224,0.0644,0.039,0.016,0.0426,0.1012,0.0272,0.275,0.2534,1.8782,0.332,13,2.8,4.357600000000001
8475799,N. Niederreiter,R,WPG,SJS,2025-11-07,7.2407,4.5,8.097130449115909,0.0,17.0,0.266,0.1232,0.0696,0.0392,0.0146,0.0526,0.088,0.0302,0.2336,0.346,1.8006,0.388,13,9.8,2.5593000000000004
8475842,S. Carrick,C,NYR,DET,2025-11-07,6.354019999999999,4.3,7.888386390105394,0.0,14.8,0.2082,0.0982,0.0528,0.031,0.0134,0.0408,0.0782,0.059,0.1572,0.3002,1.6018,0.6264,14,0.0,6.354019999999999
8475906,J. Klingberg,D,SJS,WPG,2025-11-07,6.943979999999999,4.9,7.0085630310071405,0.0,15.8,0.2452,0.1056,0.0492,0.0266,0.0082,0.0364,0.0634,0.158,0.1528,0.311,1.4304,1.2226,8,2.3,4.643979999999999
8476331,D. DeMelo,D,WPG,SJS,2025-11-07,6.6848,4.9,6.759263640367936,0.0,14.7,0.2156,0.0924,0.046,0.0224,0.0056,0.0356,0.0398,0.2404,0.0824,0.3552,1.1012,1.656,13,8.4,1.7152000000000003
