Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5055699200,charlesrayallday,0,159.50002,C Connor McDavid C Fraser Minten D Dougie Hamilton D Justin Faulk G Filip Gustavsson UTIL Moritz Seider W Alex DeBrincat W Chris Kreider W Justin Brazeau,,Mikael Granlund,C,25.59%,3
2,5055651323,Keroppi613,0,149.9,C Dylan Larkin C Nico Hischier D Dougie Hamilton D Morgan Rielly G Nikita Tolopilo UTIL Andrew Copp W Alex DeBrincat W Lucas Raymond W Patrick Kane,,Ilya Sorokin,G,20.71%,16.5
3,5055748658,jenellen1970,0,149.3,C Mikael Granlund C Matty Beniers D Darren Raddysh D Brandt Clarke G Devin Cooley UTIL Noah Dobson W Mark Stone W Alex Tuch W Viktor Arvidsson,,Connor McDavid,C,20.03%,16.5
4,5055747893,Shoestring,0,148.1,C Sam Bennett C Nico Hischier D Darren Raddysh D Dougie Hamilton G Connor Hellebuyck UTIL Cole Caufield W Matthew Tkachuk W Arseny Gritsyuk W Mackie Samoskevich,,Beckett Sennecke,W,19.87%,4.5
5,5055809406,magicmichael329,0,144.8,C Tage Thompson C Fraser Minten D Rasmus Dahlin D Sean Walker G Alex Lyon UTIL Roope Hintz W Alex Tuch W Artturi Lehkonen W Justin Hryckowian,,Morgan Geekie,W,14.98%,5
6,5055700281,sportsfanatic89,0,140.5,C Connor McDavid C Matty Beniers D Dougie Hamilton D Louis Crevier G Filip Gustavsson UTIL Moritz Seider W Alex DeBrincat W Egor Chinakhov W Justin Brazeau,,Matty Beniers,C,12.79%,10
6,5055772804,nickenyon6,0,140.5,C Connor McDavid C Matty Beniers D Dougie Hamilton D Louis Crevier G Filip Gustavsson UTIL Moritz Seider W Alex DeBrincat W Egor Chinakhov W Justin Brazeau,,Filip Gustavsson,G,11.95%,22.8
8,5055908460,krisbansell,0,140.29999,C Elias Pettersson C Fraser Minten D Lane Hutson D Dmitry Orlov G Nikita Tolopilo UTIL Alex DeBrincat W David Pastrnak W Morgan Geekie W Egor Chinakhov,,Macklin Celebrini,UTIL,11.78%,6.5
9,5055680859,jewel1010,0,137.8,C Nathan MacKinnon C Fraser Minten D Dougie Hamilton D Brett Pesce G Filip Gustavsson UTIL Moritz Seider W Alex DeBrincat W Patrick Kane W Justin Brazeau,,Mattias Samuelsson,D,11.62%,11.3
10,5055754456,mbika,0,134.5,C Pavel Zacha C Fraser Minten D Evan Bouchard D Brandt Clarke G Ilya Sorokin UTIL Morgan Rielly W David Pastrnak W Morgan Geekie W Viktor Arvidsson,,David Pastrnak,W,11.28%,1.5
11,5055853345,jdsaw12,0,134,C Logan Stankoven C Evan Rodrigues D Darren Raddysh D Shayne Gostisbehere G Brandon Bussi UTIL Viktor Arvidsson W Seth Jarvis W Andrei Svechnikov W Evgeni Malkin,,Justin Brazeau,W,9.60%,3
12,5055716536,cdhernandez07,0,132.4,C Connor McDavid C Brayden Schenn D Quinn Hughes D Evan Bouchard G Nikita Tolopilo UTIL Jonatan Berggren W Jimmy Snuggerud W Jonathan Huberdeau W Marcus Johansson,,Zach Hyman,W,9.26%,11.5
12,5055824105,CrazyNate96,0,132.4,C Tomas Hertl C Dylan Strome D Jake Walman D Sam Malinski G Jacob Markstrom UTIL Frank Nazar W Alex DeBrincat W Mats Zuccarello W Juraj Slafkovsky,,Alex DeBrincat,W,8.59%,36.8
14,5055798558,jrancor22,0,130.59999,C Connor McDavid C Tommy Novak D Moritz Seider D Bowen Byram G Filip Gustavsson UTIL Alex DeBrincat W Patrick Kane W Ben Kindel W Justin Brazeau,,Elias Pettersson,C,8.59%,8.4
15,5055709694,slimgaede,0,130.5,C Connor McDavid C Mikael Granlund D Moritz Seider D Brett Pesce G Filip Gustavsson UTIL Alex DeBrincat W Viktor Arvidsson W Egor Chinakhov W Justin Brazeau,,Nathan MacKinnon,C,8.42%,3
16,5055858266,TLandry14,0,130.1,C Ryan McLeod C Sean Couturier D Erik Karlsson D Tony DeAngelo G Jacob Markstrom UTIL Alex DeBrincat W Martin Necas W Matthew Tkachuk W Morgan Geekie,,Jordan Eberle,W,8.25%,5
