Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5049117829,nolt0032 (2/5),0,167.2,C Ryan Hartman C Logan Stankoven D Moritz Seider D Brock Faber G Ukko-Pekka Luukkonen UTIL Mats Zuccarello W Kirill Kaprizov W Jackson Blake W Taylor Hall,,Connor McDavid,C,32.74%,1.5
2,5049236705,HossDaBeast (4/5),0,162,C Ryan Hartman C Ryan McLeod D Quinn Hughes D Jaccob Slavin G Ukko-Pekka Luukkonen UTIL Joel Eriksson Ek W Kirill Kaprizov W Mats Zuccarello W Jack Quinn,,Matt Duchene,C,32.74%,3
3,5048702956,Koronin (2/4),0,154.8,C Ryan Hartman C Logan Stankoven D Quinn Hughes D Artyom Levshunov G Filip Gustavsson UTIL Taylor Hall W Kirill Kaprizov W Mats Zuccarello W Jackson Blake,,Zach Hyman,W,26.79%,6
4,5048918751,mbhabes,0,148.70001,C Joel Eriksson Ek C Ryan Hartman D Quinn Hughes D Brett Kulak G Spencer Knight UTIL Kirill Kaprizov W Mats Zuccarello W Vladimir Tarasenko W Marat Khusnutdinov,,Filip Gustavsson,G,22.62%,16.5
5,5049044526,cantfademe (1/5),0,148.40001,C Ryan Hartman C Matt Duchene D Evan Bouchard D Sean Walker G Spencer Knight UTIL Jake Walman W Kirill Kaprizov W Cole Caufield W Mats Zuccarello,,Jake Walman,D,22.62%,15
6,5049004850,Cwiert53 (2/2),0,146.9,C Ryan Hartman C Ryan McLeod D Rasmus Dahlin D Jake Walman G Filip Gustavsson UTIL Mats Zuccarello W Kirill Kaprizov W Jason Zucker W Jack Quinn,,Alexander Nikishin,D,21.43%,2.8
7,5048831942,OneDropKing (3/5),0,145.30002,C Nick Suzuki C Ryan O'Reilly D Roman Josi D Ryan Shea G Spencer Knight UTIL Luke Evangelista W Filip Forsberg W Cole Caufield W Steven Stamkos,,Cole Caufield,W,20.83%,11.5
7,5049140560,THE_PHANTOM_1 (4/5),0,145.30002,C Nick Suzuki C Ryan O'Reilly D Roman Josi D Ryan Shea G Spencer Knight UTIL Luke Evangelista W Filip Forsberg W Cole Caufield W Steven Stamkos,,Spencer Knight,G,17.86%,15.1
9,5048925334,ekim8,0,134,C Ryan Hartman C Tommy Novak D Zach Werenski D Louis Crevier G Spencer Knight UTIL Kirill Kaprizov W Evgeni Malkin W Mason Marchment W Vladimir Tarasenko,,Ryan Nugent-Hopkins,UTIL,16.67%,0
10,5048801704,jdmercer,0,132.6,C Roope Hintz C Matt Duchene D Jake Walman D Mike Matheson G Filip Gustavsson UTIL Mats Zuccarello W Kirill Kaprizov W Wyatt Johnston W Vladimir Tarasenko,,Vladimir Tarasenko,W,16.07%,4.5
10,5049054574,cantfademe (5/5),0,132.6,C Connor McDavid C Matt Duchene D Jake Walman D Louis Crevier G Spencer Knight UTIL Ryan Hartman W Kirill Kaprizov W Mats Zuccarello W Jack Roslovic,,Kirby Dach,W,16.07%,1.3
12,5049000333,hawkeyemcnutt (2/2),0,131.1,C Joel Eriksson Ek C Ryan O'Reilly D Brady Skjei D Dylan DeMelo G Connor Hellebuyck UTIL Vladimir Tarasenko W Kirill Kaprizov W Filip Forsberg W Mats Zuccarello,,Kirill Kaprizov,W,14.88%,40
13,5049193231,zelroy,0,128.3,C Tage Thompson C Joel Eriksson Ek D K'Andre Miller D Ryan Shea G Spencer Knight UTIL Jake Walman W Kirill Kaprizov W Josh Doan W Mats Zuccarello,,Mats Zuccarello,W,14.88%,28
14,5049219339,Ranger13,0,128.20001,C Joel Eriksson Ek C Ryan O'Reilly D Quinn Hughes D Ryan Shea G Connor Hellebuyck UTIL Luke Evangelista W Filip Forsberg W Mats Zuccarello W Vladimir Tarasenko,,Ryan O'Reilly,C,13.10%,19.5
