Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5053404095,CosaSpeciale (2/14),0,196.40001,C Macklin Celebrini C Matty Beniers D John Klingberg D Colton Parayko G Yaroslav Askarov UTIL Jordan Eberle W Jared McCann W Will Smith W Tyler Toffoli,,Macklin Celebrini,C,28.94%,33.8
2,5054166394,doucet58,0,191.10002,C Macklin Celebrini C Matty Beniers D John Klingberg D Filip Hronek G Philipp Grubauer UTIL Alex Iafallo W Cole Caufield W Jared McCann W Will Smith,,Elias Pettersson,C,21.96%,16.9
3,5054193538,bkreider (24/37),0,181.9,C Macklin Celebrini C Matty Beniers D Moritz Seider D John Klingberg G Philipp Grubauer UTIL Tyler Toffoli W Jared McCann W Jordan Eberle W Collin Graf,,Filip Hronek,D,20.41%,15.6
4,5053899238,Fantassin (7/37),0,181.50002,C Macklin Celebrini C Matty Beniers D John Klingberg D Justin Faulk G Yaroslav Askarov UTIL Alexander Wennberg W Jared McCann W Will Smith W Tyler Toffoli,,Linus Karlsson,W,20.16%,1.3
5,5054225938,Hunter4ever89 (5/11),0,179.5,C Macklin Celebrini C Matty Beniers D Roman Josi D Filip Hronek G Connor Hellebuyck UTIL Jordan Eberle W Jared McCann W Will Smith W Jonathan Lekkerimaki,,Will Smith,W,19.55%,23
6,5053545670,cantfademe (8/37),0,179.40001,C Macklin Celebrini C Auston Matthews D Filip Hronek D Hampus Lindholm G Anton Forsberg UTIL Collin Graf W Will Smith W Bobby McMann W Max Domi,,Jake DeBrusk,UTIL,18.86%,14.3
7,5054028685,kencamnat (5/6),0,176.1,C Macklin Celebrini C Noah Ostlund D Vince Dunn D John Klingberg G Jeremy Swayman UTIL Matty Beniers W Jared McCann W Will Smith W Josh Doan,,Connor Hellebuyck,G,17.74%,13.7
8,5053636529,ShooterMcGavin89,0,175.90001,C Macklin Celebrini C Matty Beniers D Vince Dunn D Mattias Samuelsson G Yaroslav Askarov UTIL Jonathan Marchessault W Jared McCann W Will Smith W Jordan Eberle,,Kirill Kaprizov,W,17.40%,3
9,5054513495,KeepCalmAndTiltOn (16/20),0,174.8,C Macklin Celebrini C Matty Beniers D Vince Dunn D John Klingberg G Yaroslav Askarov UTIL Jared McCann W Will Smith W Jordan Eberle W Jonathan Marchessault,,David Pastrnak,W,15.33%,27
10,5053898999,driverseati (9/10),0,174.09999,C Macklin Celebrini C Matty Beniers D John Klingberg D Gustav Forsling G Anton Forsberg UTIL Jared McCann W Matthew Tkachuk W Tyler Toffoli W Jordan Eberle,,Morgan Rielly,D,15.33%,1.5
11,5054270816,skyhoke (26/28),0,172.6,C Macklin Celebrini C Matty Beniers D Vince Dunn D John Klingberg G Philipp Grubauer UTIL Jared McCann W Tyler Toffoli W Jordan Eberle W Viktor Arvidsson,,Charlie McAvoy,D,14.30%,10.8
12,5053898994,driverseati (4/10),0,172.20001,C Elias Pettersson C Matty Beniers D Charlie McAvoy D Tom Willander G Jesper Wallstedt UTIL Jake DeBrusk W David Pastrnak W Jared McCann W Jordan Eberle,,Elias Lindholm,C,14.30%,1.5
13,5054193531,bkreider (17/37),0,169.70001,C Elias Pettersson C Ryan McLeod D Rasmus Dahlin D Filip Hronek G Jeremy Swayman UTIL Jake DeBrusk W David Pastrnak W Jason Zucker W Jack Quinn,,Morgan Geekie,W,14.21%,11.5
13,5053899258,Fantassin (27/37),0,169.7,C Tage Thompson C Noah Ostlund D Rasmus Dahlin D Filip Hronek G Anton Forsberg UTIL Elias Pettersson W Cole Caufield W Jake DeBrusk W Linus Karlsson,,Mats Zuccarello,W,13.52%,2.8
15,5053413141,nolt0032 (24/37),0,168.6,C Tage Thompson C John Tavares D Rasmus Dahlin D Thomas Harley G Yaroslav Askarov UTIL Noah Ostlund W Josh Doan W Matthew Knies W Matias Maccelli,,Collin Graf,UTIL,12.49%,1.5
16,5054475125,briguy33,0,168,C Nico Hischier C Matty Beniers D Rasmus Dahlin D Dougie Hamilton G Anton Forsberg UTIL Pavol Regenda W Carter Verhaeghe W Will Smith W Steven Stamkos,,Roman Josi,D,12.40%,12.8
17,5053811018,walls_last_stand,0,167.40001,C Macklin Celebrini C Noah Ostlund D Rasmus Dahlin D Filip Hronek G Ukko-Pekka Luukkonen UTIL Tyler Toffoli W Will Smith W Josh Doan W Collin Graf,,Auston Matthews,C,12.32%,27.3
18,5053949272,nevs2904 (3/10),0,166.8,C Macklin Celebrini C Matty Beniers D Uvis Balinskis D Alexandre Carrier G Connor Hellebuyck UTIL Linus Karlsson W David Pastrnak W Jared McCann W Will Smith,,John Klingberg,D,11.89%,19.5
19,5053781959,Koronin (1/3),0,166.6,C Auston Matthews C Matty Beniers D Moritz Seider D Filip Hronek G Philipp Grubauer UTIL Jake DeBrusk W Jared McCann W Jordan Eberle W Linus Karlsson,,Jeremy Swayman,G,10.77%,18.6
20,5054193530,bkreider (16/37),0,166.00002,C Elias Pettersson C Matty Beniers D Morgan Rielly D Filip Hronek G Philipp Grubauer UTIL Auston Matthews W Jared McCann W Jake DeBrusk W Jordan Eberle,,Ryan O'Reilly,C,10.34%,9.5
21,5054121272,Jack_Of_All_Trades (2/3),0,164.90001,C Elias Lindholm C Matty Beniers D Thomas Harley D Mattias Samuelsson G John Gibson UTIL Jordan Eberle W David Pastrnak W Jared McCann W Morgan Geekie,,Quinn Hughes,D,10.25%,6.5
22,5054223610,Jgo99 (1/2),0,163.20001,C Macklin Celebrini C Auston Matthews D Andrew Peeke D Jacob Bernard-Docker G Philipp Grubauer UTIL Matty Beniers W Jared McCann W Will Smith W Linus Karlsson,,Joel Eriksson Ek,C,10.16%,17.8
23,5053592951,cheeseisgood (4/16),0,163.10002,C Macklin Celebrini C Auston Matthews D Hampus Lindholm D Mario Ferraro G Yaroslav Askarov UTIL Will Smith W Bobby McMann W Collin Graf W Max Domi,,Anton Forsberg,G,10.16%,21.4
24,5054364015,phildo76,0,162.5,C Macklin Celebrini C Matty Beniers D Vince Dunn D Adam Larsson G Philipp Grubauer UTIL Morgan Geekie W Jared McCann W Tyler Toffoli W Jordan Eberle,,Philipp Grubauer,G,9.47%,15.8
