Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5055104295,lizvespa34,0,132.7,C Mika Zibanejad C Christian Dvorak D Matthew Schaefer D Cam York G David Rittich UTIL Travis Konecny W J.T. Miller W Trevor Zegras W Emil Heineman,,Nathan MacKinnon,C,50.67%,2.8
2,5055072648,Birdzofprey15,0,127.8,C Tim Stuetzle C Christian Dvorak D Jake Sanderson D Tony DeAngelo G David Rittich UTIL Travis Konecny W Trevor Zegras W Drake Batherson W Claude Giroux,,Victor Olofsson,UTIL,31.99%,3
3,5054808335,jamesd19,0,125.700005,C Brock Nelson C Charlie Coyle D Sam Malinski D Cam York G David Rittich UTIL Mathew Barzal W Kirill Marchenko W Travis Konecny W Will Cuylle,,Brock Nelson,C,29.63%,6.3
4,5055004609,Numero248,0,124.6,C Tim Stuetzle C Mathew Barzal D Matthew Schaefer D Josh Manson G Dan Vladar UTIL Trevor Zegras W Travis Konecny W Drake Batherson W Anthony Duclair,,Martin Necas,W,28.11%,0
5,5054728911,wallsack32,0,124.20001,C Mathew Barzal C Christian Dvorak D Zach Werenski D Tony DeAngelo G David Rittich UTIL Trevor Zegras W Travis Konecny W Anthony Duclair W Jonathan Drouin,,Cale Makar,D,27.10%,12.9
6,5054819908,TB701,0,121.6,C Nathan MacKinnon C Christian Dvorak D Cale Makar D Braden Schneider G Spencer Martin UTIL Travis Konecny W Trevor Zegras W Simon Holmstrom W Ridly Greig,,Anthony Duclair,W,26.94%,2.8
7,5055045270,csurunnerccr,0,120.799995,C Nathan MacKinnon C Christian Dvorak D Jake Sanderson D Vladislav Gavrikov G Dan Vladar UTIL Jamie Drysdale W Travis Konecny W Trevor Zegras W Simon Holmstrom,,Dan Vladar,G,23.57%,4.2
8,5054710515,pegulavill,0,120.2,C Bo Horvat C Christian Dvorak D Matthew Schaefer D Brent Burns G MacKenzie Blackwood UTIL Trevor Zegras W Travis Konecny W Emil Heineman W Ondrej Palat,,MacKenzie Blackwood,G,22.56%,2.1
9,5054753909,Dricou,0,118.49999,C Adam Fantilli C Christian Dvorak D Jake Sanderson D Jamie Drysdale G James Reimer UTIL Owen Tippett W Kirill Marchenko W Travis Konecny W Trevor Zegras,,Owen Tippett,W,22.05%,4.3
10,5054785375,Illegaltouching1,0,117.100006,C Bo Horvat C Christian Dvorak D Matthew Schaefer D Jamie Drysdale G David Rittich UTIL Artturi Lehkonen W Travis Konecny W Trevor Zegras W Emil Heineman,,David Rittich,G,21.89%,8.8
11,5054613459,scoobydaniels,0,115.3,C Christian Dvorak C Charlie Coyle D Zach Werenski D Josh Manson G David Rittich UTIL Bobby Brink W Kirill Marchenko W Travis Konecny W Trevor Zegras,,Christian Dvorak,C,20.20%,12.1
12,5054831598,Tfallica57,0,114.50001,C Bo Horvat C Christian Dvorak D Matthew Schaefer D Brent Burns G David Rittich UTIL Emil Heineman W Travis Konecny W Owen Tippett W Anders Lee,,Kirill Marchenko,W,18.52%,13
13,5054867796,swingzpigz,0,113.3,C Dylan Cozens C Christian Dvorak D Jake Sanderson D Tony DeAngelo G David Rittich UTIL Trevor Zegras W Brady Tkachuk W Travis Konecny W Ridly Greig,,Travis Konecny,W,18.18%,37.3
14,5054794354,djlions81,0,112.5,C Dylan Cozens C Christian Dvorak D Cale Makar D Jamie Drysdale G Dan Vladar UTIL Ridly Greig W Brady Tkachuk W Travis Konecny W Trevor Zegras,,Tony DeAngelo,D,17.34%,9.5
15,5054703935,Xsanguinate,0,112.40001,C Brock Nelson C Christian Dvorak D Tony DeAngelo D Adam Pelech G Ilya Sorokin UTIL Mathew Barzal W Travis Konecny W Artturi Lehkonen W Trevor Zegras,,Mason Marchment,W,17.17%,1.5
16,5055096698,BlitzKing,0,112.00001,C Christian Dvorak C Charlie Coyle D Zach Werenski D Sam Malinski G Spencer Martin UTIL Valeri Nichushkin W Travis Konecny W Artturi Lehkonen W Trevor Zegras,,Cam York,D,16.67%,13.6
16,5055065688,kuriouskev23,0,112,C Bo Horvat C Brock Nelson D Cale Makar D Matthew Schaefer G David Rittich UTIL Sean Couturier W Emil Heineman W Simon Holmstrom W Ondrej Palat,,Zach Werenski,D,16.16%,14.3
18,5054671518,Seabass1977,0,111.3,C Nathan MacKinnon C Christian Dvorak D Cale Makar D Nick Seeler G Dan Vladar UTIL Travis Sanheim W Travis Konecny W Owen Tippett W Simon Holmstrom,,Adam Fantilli,C,15.66%,11
