Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5048364480,bizzell88 (7/142),0,166.6,C Nick Schmaltz C Ryan Poehling D Mikhail Sergachev D Vince Dunn G Philipp Grubauer UTIL Matty Beniers W Clayton Keller W Cutter Gauthier W Jared McCann,,Nathan MacKinnon,C,43.67%,4.5
2,5048172267,tommienation1 (12/106),0,165.80002,C Christian Dvorak C Matty Beniers D Moritz Seider D Brandon Montour G Philipp Grubauer UTIL Jordan Eberle W Clayton Keller W Travis Konecny W Jared McCann,,Martin Necas,W,22.18%,4.1
3,5048487204,shiposki75 (9/10),0,165.6,C Dylan Larkin C Christian Dvorak D Morgan Rielly D Filip Hronek G Lukas Dostal UTIL Trevor Zegras W Alex DeBrincat W Travis Konecny W Bobby Brink,,Victor Olofsson,W,22.18%,5.8
4,5048364606,bizzell88 (133/142),0,163.40001,C Dylan Strome C Nick Schmaltz D Jake McCabe D Brett Kulak G Philipp Grubauer UTIL Jared McCann W Clayton Keller W Bryan Rust W Evgeni Malkin,,Cale Makar,D,19.93%,8.6
5,5048525868,bkslast (3/3),0,162.5,C Nick Schmaltz C Christian Dvorak D Jacob Trouba D Josh Manson G Joseph Woll UTIL Travis Konecny W Clayton Keller W Trevor Zegras W Lawson Crouse,,Stuart Skinner,G,16.86%,15.1
6,5048387619,AdrocksBucksWinItAll (31/40),0,162.4,C Nick Schmaltz C Tommy Novak D Cale Makar D Vince Dunn G John Gibson UTIL Evgeni Malkin W Clayton Keller W JJ Peterka W Egor Chinakhov,,Brock Nelson,C,15.75%,11
7,5048153774,loeby1 (2/4),0,161.90001,C Nick Schmaltz C Christian Dvorak D Jacob Trouba D Cam York G John Gibson UTIL Lawson Crouse W Clayton Keller W Travis Konecny W Trevor Zegras,,Jakob Chychrun,D,15.01%,4.3
8,5048524647,I_Slewfoot_U (42/50),0,158.70001,C Dylan Larkin C Nick Schmaltz D Vince Dunn D Ian Cole G Kevin Lankinen UTIL Rickard Rakell W Clayton Keller W Evgeni Malkin W Lawson Crouse,,Brett Kulak,D,14.61%,1.3
9,5048364571,bizzell88 (98/142),0,156.6,C Dylan Strome C Nick Schmaltz D Jakob Chychrun D Brett Kulak G Lukas Dostal UTIL Bryan Rust W Clayton Keller W Lawson Crouse W Kaapo Kakko,,Ilya Sorokin,G,14.09%,4.2
10,5047949500,Cerias (1/2),0,156.50002,C Nick Schmaltz C Matty Beniers D Vince Dunn D Filip Hronek G Stuart Skinner UTIL Dylan Guenther W Clayton Keller W Jared McCann W Jordan Eberle,,Philipp Grubauer,G,13.94%,24.3
11,5048153000,smk5430 (15/20),0,156.3,C Nick Schmaltz C Elias Pettersson D Vince Dunn D John Marino G Joseph Woll UTIL Brock Boeser W Dylan Guenther W Clayton Keller W Lawson Crouse,,Auston Matthews,C,13.29%,11.8
12,5047990083,OneDropKing (33/142),0,155.4,C Nick Schmaltz C Elias Pettersson D Jacob Trouba D Brett Kulak G Lukas Dostal UTIL Brock Boeser W Clayton Keller W Bryan Rust W Evgeni Malkin,,Rickard Rakell,UTIL,13.20%,10.8
13,5048364481,bizzell88 (8/142),0,155,C Dylan Strome C Nick Schmaltz D Jacob Trouba D Cam York G Lukas Dostal UTIL Ryan Strome W Dylan Guenther W Clayton Keller W Chris Kreider,,John Tavares,C,12.80%,7.3
14,5048487159,isupol (3/8),0,154.3,C Nick Schmaltz C Matty Beniers D Mikhail Sergachev D Vince Dunn G Stuart Skinner UTIL Evgeni Malkin W Clayton Keller W Jared McCann W Jordan Eberle,,Scott Wedgewood,G,12.74%,9.7
15,5048318118,TT8607 (12/35),0,153.90001,C Nick Schmaltz C Matty Beniers D Mikhail Sergachev D Vince Dunn G Philipp Grubauer UTIL Elias Pettersson W Clayton Keller W Jared McCann W Jordan Eberle,,Logan Thompson,G,12.62%,0.7
16,5048367060,kregs525 (17/18),0,153.7,C Nick Schmaltz C Barrett Hayton D Mikhail Sergachev D Simon Edvinsson G John Gibson UTIL Brock Boeser W Dylan Guenther W Clayton Keller W JJ Peterka,,Elias Pettersson,UTIL,12.22%,9.7
