Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
MacKenzie Blackwood,,0,G,8300,COL,@ OTT,7:30 pm,Y,49.5%,-98.0,6.5,3.25,3.02,confirm,,58:10,14.4,10.58,32.51,11.35,11.35,100,,63,1.4,0,57:41,2.1,0.3
David Rittich,,0,G,8100,NYI,vs NYR,7:00 pm,Y,45.8%,-84.5,6.5,3.5,3.25,confirm,,59:35,10.5,10.17,30.45,10.11,10.11,100,,52,1.2,0,59:22,8.8,1.1
Dan Vladar,,0,G,7300,PHI,@ CBJ,7:30 pm,N,56.0%,+78.5,6.5,3.25,3.35,confirm,,58:32,11.3,7.64,25.56,10.28,10.28,100,,66,1.4,0,57:14,4.2,0.6
Elvis Merzlikins,,0,G,7900,CBJ,vs PHI,7:30 pm,Y,44.0%,-78.5,6.5,3.35,3.25,confirm,,56:00,9.1,9.73,28.66,9.2,9.2,100,,47,1.2,0,60:00,11.6,1.5
James Reimer,,0,G,7100,OTT,vs COL,7:30 pm,N,50.5%,+98.0,6.5,3.02,3.25,confirm,,53:45,5.5,7.14,23.66,9.38,9.38,100,,35,1.3,0,60:00,10.2,1.4
Spencer Martin,,0,G,7300,NYR,@ NYI,7:00 pm,N,54.2%,+84.5,6.5,3.25,3.5,confirm,,46:07,4,6.91,19.62,5.8,5.8,100,,14,0.8,0,60:00,4.2,0.6
Scott Wedgewood,,0,G,8300,COL,@ OTT,7:30 pm,Y,49.5%,-98.0,6.5,3.25,3.02,unlikely,,56:43,13.3,9.11,0,0,0,100,,66,0,0,00:00,0,
Ilya Sorokin,,0,G,8100,NYI,vs NYR,7:00 pm,Y,45.8%,-84.5,6.5,3.5,3.25,unlikely,,59:44,14.2,12.32,0,0,0,100,,57,0,0,00:00,0,
Semyon Varlamov,,0,G,7900,NYI,vs NYR,7:00 pm,Y,45.8%,-84.5,6.5,3.5,3.25,unlikely,,,,,0,0,0,100,,0,0,0,,,
Jet Greaves,,0,G,7900,CBJ,vs PHI,7:30 pm,Y,44.0%,-78.5,6.5,3.35,3.25,unlikely,,59:23,12.5,8.21,0,0,0,100,,67,0,0,00:00,0,
Alexei Kolosov,,0,G,7500,PHI,@ CBJ,7:30 pm,N,56.0%,+78.5,6.5,3.25,3.35,unlikely,,30:00,0.8,7.56,0,0,0,100,,0,0,0,,,
Samuel Ersson,,0,G,7500,PHI,@ CBJ,7:30 pm,N,56.0%,+78.5,6.5,3.25,3.35,unlikely,,58:23,5,8.84,0,0,0,100,,12,0,0,00:00,0,
Jonathan Quick,,0,G,7300,NYR,@ NYI,7:00 pm,N,54.2%,+84.5,6.5,3.25,3.5,unlikely,,55:49,7.1,11.04,0,0,0,100,,22,0,0,00:00,0,
Igor Shesterkin,,0,G,7100,NYR,@ NYI,7:00 pm,N,54.2%,+84.5,6.5,3.25,3.5,unlikely,,58:53,12.7,8.94,0,0,0,100,,65,0,0,,,
Linus Ullmark,,0,G,7100,OTT,vs COL,7:30 pm,N,50.5%,+98.0,6.5,3.02,3.25,unlikely,,59:11,8.2,8.15,0,0,0,100,,50,0,0,00:00,0,
Mads Sogaard,,0,G,6900,OTT,vs COL,7:30 pm,N,50.5%,+98.0,6.5,3.02,3.25,unlikely,,33:13,2.2,10.51,0,0,0,100,,0,0,0,,,
Marcus Hogberg,,0,G,6500,NYI,vs NYR,7:00 pm,Y,45.8%,-84.5,6.5,3.5,3.25,unlikely,,13:29,-3.5,0,0,0,0,100,,0,0,0,,,
Leevi Merilainen,,0,G,6500,OTT,vs COL,7:30 pm,N,50.5%,+98.0,6.5,3.02,3.25,unlikely,,53:52,4.1,8.71,0,0,0,100,,0,0,0,,,
Trent Miner,,0,G,6500,COL,@ OTT,7:30 pm,Y,49.5%,-98.0,6.5,3.25,3.02,unlikely,,52:49,12.7,10.8,0,0,0,100,,57,0,0,,,
