name,team,position,dk_pos,salary,projected_fpts,floor,ceiling,dk_avg_fpts,edge,value,goals_per_game,assists_per_game,shots_per_game,pp_points_per_game,projection_date,timestamp
Zach Werenski,CBJ,D,D,8700,17.59356578450015,4.3983914461250375,48.98391446125038,16.03,1.563565784500149,2.022248940747144,0.3958333333333333,0.7916666666666666,3.5833333333333335,0.2916666666666667,2026-01-30,20260130_045746
Connor Bedard,CHI,C,C,8000,16.05117979232276,4.01279494808069,45.1279494808069,15.86,0.19117979232276028,2.006397474040345,0.5121951219512195,0.7073170731707317,3.4146341463414633,0.34146341463414637,2026-01-30,20260130_045746
Kirill Marchenko,CBJ,W,W,6900,13.32432622158358,3.331081555395895,38.310815553958946,12.47,0.8543262215835785,1.9310617712439968,0.3958333333333333,0.5208333333333334,3.1041666666666665,0.3125,2026-01-30,20260130_045746
Jet Greaves,CBJ,G,G,7400,12.889989330646426,2.5779978661292855,35.77997866129285,12.36,0.5299893306464263,1.7418904500873547,,,,,2026-01-30,20260130_045746
Spencer Knight,CHI,G,G,7000,12.375866729266612,2.4751733458533227,34.751733458533224,13.3,-0.9241332707333889,1.7679809613238018,,,,,2026-01-30,20260130_045746
Tyler Bertuzzi,CHI,W,W,4800,10.920809074301868,2.730202268575467,32.30202268575467,10.25,0.670809074301868,2.275168557146223,0.49019607843137253,0.27450980392156865,2.2941176470588234,0.3137254901960784,2026-01-30,20260130_045746
Adam Fantilli,CBJ,C,C,6100,10.715001029844705,2.6787502574611763,31.787502574611764,9.5,1.2150010298447054,1.7565575458761813,0.25,0.40384615384615385,2.769230769230769,0.15384615384615385,2026-01-30,20260130_045746
Boone Jenner,CBJ,C,W,4700,9.350467872819166,2.3376169682047916,28.376169682047916,9.29,0.06046787281916721,1.9894612495359927,0.21052631578947367,0.4473684210526316,2.1842105263157894,0.07894736842105263,2026-01-30,20260130_045746
Dmitri Voronkov,CBJ,W,W,3700,8.742445745512486,2.1856114363781214,26.856114363781213,8.0,0.7424457455124855,2.3628231744628336,0.3269230769230769,0.2692307692307692,1.9423076923076923,0.15384615384615385,2026-01-30,20260130_045746
Ivan Provorov,CBJ,D,D,3900,8.604670982658398,2.1511677456645995,26.511677456645995,8.55,0.054670982658397094,2.206325892989333,0.09615384615384616,0.25,2.076923076923077,0.038461538461538464,2026-01-30,20260130_045746
Frank Nazar,CHI,C,C,4300,8.589911646399402,2.1474779115998506,26.474779115998505,8.14,0.44991164639940173,1.997653871255675,0.15789473684210525,0.4473684210526316,2.1052631578947367,0.15789473684210525,2026-01-30,20260130_045746
Charlie Coyle,CBJ,C,C,4000,8.289049856474449,2.0722624641186123,25.722624641186123,7.48,0.8090498564744486,2.0722624641186123,0.23076923076923078,0.4423076923076923,1.6538461538461537,0.11538461538461539,2026-01-30,20260130_045746
Elvis Merzlikins,CBJ,G,G,7400,8.086155632520692,1.6172311265041384,26.172311265041383,9.49,-1.4038443674793086,1.0927237341244178,,,,,2026-01-30,20260130_045746
Denton Mateychuk,CBJ,D,D,3800,7.639503622820231,1.9098759057050578,24.09875905705058,7.2,0.43950362282023114,2.0103956902158506,0.17777777777777778,0.28888888888888886,1.2,0.044444444444444446,2026-01-30,20260130_045746
Andre Burakovsky,CHI,W,W,3600,7.233007072841525,1.8082517682103814,23.082517682103813,7.28,-0.046992927158474807,2.0091686313448682,0.20833333333333334,0.4166666666666667,1.3958333333333333,0.20833333333333334,2026-01-30,20260130_045746
Sean Monahan,CBJ,C,C,3500,7.193009421190901,1.7982523552977252,22.982523552977252,6.51,0.683009421190901,2.055145548911686,0.1875,0.3333333333333333,1.6041666666666667,0.16666666666666666,2026-01-30,20260130_045746
Damon Severson,CBJ,D,D,3100,7.046759345228236,1.761689836307059,22.61689836307059,6.04,1.006759345228236,2.2731481758800762,0.058823529411764705,0.3333333333333333,1.3137254901960784,0.0784313725490196,2026-01-30,20260130_045746
Arvid Soderblom,CHI,G,G,7000,6.889419514718776,1.3778839029437553,23.778839029437552,6.69,0.19941951471877584,0.984202787816968,,,,,2026-01-30,20260130_045746
Cole Sillinger,CBJ,C,W,3200,6.8638017664542055,1.7159504416135514,22.159504416135512,6.19,0.6738017664542051,2.144938052016939,0.11764705882352941,0.3333333333333333,1.7450980392156863,0.0196078431372549,2026-01-30,20260130_045746
Louis Crevier,CHI,D,D,2600,6.854843043968915,1.7137107609922289,22.13710760992229,5.7,1.1548430439689152,2.636478093834198,0.0784313725490196,0.21568627450980393,1.4705882352941178,0.0,2026-01-30,20260130_045746
Artyom Levshunov,CHI,D,D,3400,6.800694947870592,1.700173736967648,22.00173736967648,5.95,0.8506949478705916,2.000204396432527,0.038461538461538464,0.36538461538461536,1.2692307692307692,0.21153846153846154,2026-01-30,20260130_045746
Ilya Mikheyev,CHI,W,W,2800,6.501671102755105,1.6254177756887762,21.254177756887763,5.26,1.241671102755105,2.322025393841109,0.20408163265306123,0.1836734693877551,1.6122448979591837,0.0,2026-01-30,20260130_045746
Sam Rinzel,CHI,D,D,2500,6.418830471402808,1.604707617850702,21.04707617850702,5.31,1.1088304714028085,2.567532188561123,0.03571428571428571,0.25,1.3928571428571428,0.0,2026-01-30,20260130_045746
Miles Wood,CBJ,W,W,2500,6.402129877054448,1.600532469263612,21.00532469263612,5.53,0.8721298770544479,2.560851950821779,0.24242424242424243,0.12121212121212122,1.5454545454545454,0.0,2026-01-30,20260130_045746
Ryan Donato,CHI,C,W,3100,6.32931244647971,1.5823281116199275,20.823281116199276,5.57,0.7593124464797096,2.0417136924128094,0.2037037037037037,0.18518518518518517,1.537037037037037,0.037037037037037035,2026-01-30,20260130_045746
Erik Gudbranson,CBJ,D,D,2500,6.250686267711674,1.5626715669279185,20.626715669279186,3.94,2.310686267711674,2.5002745070846695,0.1,0.2,1.1,0.0,2026-01-30,20260130_045746
Teuvo Teravainen,CHI,C,W,3000,6.168786420306469,1.5421966050766172,20.421966050766173,5.81,0.358786420306469,2.0562621401021564,0.2127659574468085,0.2553191489361702,1.2340425531914894,0.23404255319148937,2026-01-30,20260130_045746
Nick Lardis,CHI,W,W,2600,6.068771311404734,1.5171928278511835,20.171928278511835,5.19,0.8787713114047335,2.3341428120787437,0.23809523809523808,0.09523809523809523,1.5238095238095237,0.14285714285714285,2026-01-30,20260130_045746
Wyatt Kaiser,CHI,D,D,2500,5.661296378190618,1.4153240945476544,19.153240945476544,4.33,1.3312963781906175,2.264518551276247,0.09259259259259259,0.12962962962962962,1.0555555555555556,0.0,2026-01-30,20260130_045746
Ryan Greene,CHI,C,W,3300,5.5760702719165645,1.3940175679791411,18.94017567979141,4.87,0.7060702719165644,1.6897182642171409,0.12962962962962962,0.24074074074074073,1.3518518518518519,0.07407407407407407,2026-01-30,20260130_045746
Kent Johnson,CBJ,C,W,3800,5.526068914219361,1.3815172285548403,18.815172285548403,5.16,0.36606891421936094,1.454228661636674,0.09803921568627451,0.21568627450980393,1.5098039215686274,0.0196078431372549,2026-01-30,20260130_045746
Alex Vlasic,CHI,D,D,2900,5.517356558855763,1.3793391397139407,18.79339139713941,5.48,0.0373565588557625,1.9025367444330217,0.03773584905660377,0.20754716981132076,1.0188679245283019,0.0,2026-01-30,20260130_045746
Oliver Moore,CHI,C,C,3000,5.23036075468208,1.30759018867052,18.0759018867052,4.65,0.5803607546820793,1.7434535848940265,0.11904761904761904,0.2619047619047619,1.1666666666666667,0.11904761904761904,2026-01-30,20260130_045746
Matt Grzelcyk,CHI,D,D,2500,5.2015855858527775,1.3003963964631944,18.003963964631943,3.74,1.4615855858527773,2.080634234341111,0.0,0.2037037037037037,1.0185185185185186,0.05555555555555555,2026-01-30,20260130_045746
Mathieu Olivier,CBJ,W,W,2700,5.184311033604353,1.2960777584010883,17.960777584010884,4.78,0.40431103360435294,1.9201151976312418,0.1282051282051282,0.20512820512820512,1.2564102564102564,0.0,2026-01-30,20260130_045746
Connor Murphy,CHI,D,D,2800,5.107989200632302,1.2769973001580754,17.769973001580755,4.7,0.4079892006323016,1.8242818573686794,0.05555555555555555,0.12962962962962962,0.9259259259259259,0.0,2026-01-30,20260130_045746
Jason Dickinson,CHI,C,C,2800,5.050915815051993,1.2627289537629982,17.627289537629984,5.02,0.030915815051993256,1.803898505375712,0.15,0.125,1.25,0.0,2026-01-30,20260130_045746
Mikael Pyyhtia,CBJ,W,W,2500,4.6045634410927265,1.1511408602731816,16.511408602731816,4.02,0.584563441092727,1.8418253764370907,0.2,0.0,1.2,0.0,2026-01-30,20260130_045746
Brendan Gaunce,CBJ,C,C,2500,4.516057235355469,1.1290143088388673,16.290143088388675,4.59,-0.07394276464453053,1.8064228941421878,0.08,0.16,1.16,0.0,2026-01-30,20260130_045746
Dominic Toninato,CHI,C,C,2500,3.8941730918558966,0.9735432729639741,14.735432729639742,2.8,1.0941730918558967,1.5576692367423586,0.0,0.2,1.2,0.0,2026-01-30,20260130_045746
Jake Christiansen,CBJ,D,D,2500,3.891831373696774,0.9729578434241934,14.729578434241935,2.21,1.6818313736967738,1.5567325494787094,0.0,0.06451612903225806,0.6774193548387096,0.0,2026-01-30,20260130_045746
