game_date,player_name,actual,predicted,error
2025-11-07,R. Reaves,-0.5,2.1692834,2.6692834
2025-11-07,N. Foligno,4.1,2.319738,1.780262
2025-11-07,J. Toews,5.1,7.150703,2.050703
2025-11-07,J. van Riemsdyk,1.3,2.271914,0.97191405
2025-11-07,P. Kane,11.5,12.020405,0.5204048
2025-11-07,M. Backlund,6.8,11.076662,4.276662
2025-11-07,L. Schenn,2.6,0.958374,1.6416259
2025-11-07,T. Hamonic,-0.5,1.9233265,2.4233265
2025-11-07,J. Spurgeon,8.9,2.4965472,6.4034524
2025-11-07,M. Johansson,7.5,12.574442,5.074442
2025-11-07,K. Palmieri,3.5,10.796129,7.296129
2025-11-07,N. Kadri,4.0,14.062954,10.062954
2025-11-07,D. Orlov,4.6,7.3132944,2.7132945
2025-11-07,M. Foligno,7.0,1.1986895,5.8013105
2025-11-07,C. Cizikas,8.9,2.032668,6.8673315
2025-11-07,B. Chiarot,3.6,2.109727,1.490273
2025-11-07,A. Lee,7.5,12.054065,4.5540648
2025-11-07,M. Zuccarello,6.0,8.153161,2.153161
2025-11-07,T. Toffoli,5.5,12.2548275,6.7548275
2025-11-07,V. Tarasenko,7.3,10.803656,3.5036554
2025-11-07,J. Skinner,2.8,6.0611973,3.2611973
2025-11-07,N. Niederreiter,9.8,9.228523,0.57147694
2025-11-07,S. Carrick,0.0,2.9028869,2.9028869
2025-11-07,J. Klingberg,2.3,8.476135,6.176135
2025-11-07,D. DeMelo,8.4,3.2506168,5.1493826
2025-11-07,A. Lowry,11.7,3.7043219,7.995678
2025-11-07,B. Coleman,2.3,10.453264,8.153264
2025-11-07,J. Pageau,13.8,8.353646,5.446354
2025-11-07,S. Mayfield,3.1,1.6200714,1.4799285
2025-11-07,J. Huberdeau,5.5,13.4681015,7.9681015
2025-11-07,M. Zibanejad,15.0,11.337302,3.6626978
2025-11-07,M. Scheifele,4.3,17.58662,13.28662
2025-11-07,J. Brodin,16.2,5.299369,10.900632
2025-11-07,J. Miller,1.5,11.886452,10.386452
2025-11-07,C. Murphy,1.5,1.2896595,0.2103405
2025-11-07,V. Namestnikov,17.4,12.290668,5.109332
2025-11-07,B. Goodrow,2.5,1.1801281,1.3198719
2025-11-07,T. Pearson,1.6,1.8378534,0.23785341
2025-11-07,T. Teravainen,0.0,5.270325,5.270325
