season,player_id,player_name,team,game_id,game_date,opponent,home_road,decision,shots_against,saves,goals_against,sv_pct,toi,toi_seconds,dk_fpts,goals,assists,source,goalie_sv_pct_last5,goalie_sv_pct_last10,goalie_goals_against_last5,goalie_goals_against_last10,goalie_saves_last5,goalie_saves_last10,goalie_shots_against_last5,goalie_shots_against_last10,is_win,goalie_win_rate_last5,goalie_win_rate_last10,goalie_dk_fpts_ewm,goalie_fpts_season_avg,goalie_starts,is_home,team_goals_per_game_last10,team_fpts_per_game_last10,opp_goals_per_game_last10,opp_shots_per_game_last10,opp_fpts_per_game_last10,is_shutout
2020,8479394,C. Hart,PHI,2020020001,2021-01-13,PIT,H,W,34,31,3,0.911765,59:45,3585,17.2,0,0,historical,0.75,0.75,2.0,2.0,6.0,6.0,8.0,8.0,1,0.0,0.0,-2.8000000000000007,-2.8000000000000007,1,1,6.0,172.4,3.0,34.0,101.8,0
2020,8477465,T. Jarry,PIT,2020020001,2021-01-13,PHI,R,L,27,21,6,0.777778,59:51,3591,-6.300000000000001,0,0,historical,0.8173075000000001,0.8173075000000001,2.5,2.5,14.5,14.5,17.0,17.0,0,0.5,0.5,4.711721245995601,4.399999999999999,1,0,3.0,101.8,6.0,27.0,172.4,0
2020,8476883,A. Vasilevskiy,TBL,2020020002,2021-01-13,CHI,H,W,23,22,1,0.956522,59:37,3577,17.9,0,0,historical,0.878205,0.878205,1.6666666666666667,1.6666666666666667,12.333333333333334,12.333333333333334,14.0,14.0,1,0.3333333333333333,0.3333333333333333,5.758995720730955,5.466666666666666,1,1,5.0,170.1,1.0,23.0,55.6,0
2020,8476876,M. Subban,CHI,2020020002,2021-01-13,TBL,R,L,33,28,5,0.848485,59:37,3577,2.099999999999998,0,0,historical,0.900033,0.900033,1.5,1.5,16.25,16.25,17.75,17.75,0,0.5,0.5,10.389479453501501,9.624999999999998,1,0,1.0,55.6,5.0,33.0,170.1,0
2020,8475883,F. Andersen,TOR,2020020003,2021-01-13,MTL,H,W,32,28,4,0.875,63:24,3804,11.599999999999998,0,0,historical,0.9135747999999999,0.9135747999999999,1.4,1.4,19.0,19.0,20.4,20.4,1,0.6,0.6,13.484420882698096,23.5,1,1,5.0,166.1,4.0,32.0,158.1,0
2020,8471679,C. Price,MTL,2020020003,2021-01-13,TOR,R,O,34,29,5,0.852941,63:24,3804,2.799999999999997,0,0,historical,0.95181,0.9181750000000001,1.4,1.5,24.2,21.166666666666668,25.6,22.666666666666668,0,0.8,0.6666666666666666,15.104960664400298,22.45,1,0,4.0,158.1,5.0,34.0,166.1,0
2020,8475156,M. Koskinen,EDM,2020020004,2021-01-13,VAN,H,L,35,30,5,0.857143,58:13,3493,3.5,0,0,historical,0.950887,0.9127214285714286,1.4,1.7142857142857142,24.0,21.285714285714285,25.4,23.0,0,0.6,0.5714285714285714,13.242447909052451,16.599999999999998,1,1,3.0,116.1,5.0,35.0,160.20000000000002,0
2020,8474651,B. Holtby,VAN,2020020004,2021-01-13,EDM,R,W,31,28,3,0.903226,59:46,3586,15.099999999999998,0,0,historical,0.9453313999999999,0.920159,1.6,1.625,29.4,23.0,31.0,24.625,1,0.8,0.625,15.526090306951987,19.2,1,0,5.0,160.20000000000002,3.0,31.0,116.1,0
2020,8475831,P. Grubauer,COL,2020020005,2021-01-13,STL,H,L,32,28,4,0.875,60:00,3600,5.599999999999998,0,0,historical,0.9360118,0.9200212222222223,2.0,1.7777777777777777,30.6,24.22222222222222,32.6,26.0,0,0.8,0.6666666666666666,16.104521359936758,19.22,1,1,1.0,64.3,4.0,32.0,155.7,0
2020,8476412,J. Binnington,STL,2020020005,2021-01-13,COL,R,W,27,26,1,0.962963,60:00,3600,20.7,0,0,historical,0.9054264,0.9095006,2.8,2.1,29.0,24.0,31.8,26.1,1,0.6,0.6,13.4975038540774,15.666666666666666,1,0,4.0,155.7,1.0,27.0,64.3,0
2020,8474593,J. Markstrom,CGY,2020020012,2021-01-14,WPG,R,O,34,30,4,0.882353,61:18,3678,7.0,0,0,historical,0.9100484,0.9309291999999999,2.6,2.0,28.0,26.1,30.6,28.1,0,0.6,0.7,14.564926943872896,16.485714285714284,1,0,3.0,120.4,4.0,34.0,147.70000000000002,0
2020,8475156,M. Koskinen,EDM,2020020013,2021-01-14,VAN,H,W,40,38,2,0.95,60:00,3600,25.599999999999994,0,0,historical,0.905477,0.928182,3.0,2.2,29.6,26.8,32.6,29.0,1,0.6,0.6,13.144323625340602,14.862499999999999,2,1,4.0,165.39999999999998,3.5,37.5,132.35000000000002,0
2020,8477967,T. Demko,VAN,2020020013,2021-01-14,EDM,R,L,46,41,5,0.891304,59:52,3592,11.2,0,0,historical,0.8922826,0.9188069999999999,3.4,2.5,28.4,28.9,31.8,31.4,0,0.6,0.7,13.470475781100118,14.966666666666665,1,0,3.5,132.35000000000002,4.0,38.5,165.39999999999998,0
2020,8475311,D. Kuemper,ARI,2020020014,2021-01-14,SJS,H,O,35,32,3,0.914286,63:00,3780,11.899999999999999,0,0,historical,0.893684,0.9148479,3.2,2.6,26.6,28.6,29.8,31.2,0,0.4,0.6,13.119631745731082,14.52,1,1,3.0,130.4,3.0,35.0,146.6,0
