playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478048,2025,Igor Shesterkin,NYR,G,other,34,1845,6.08,5,88,4.19,4,9.28,1,48.91,39,0.75,0,30.67,35,14.84,22,5.57,38,25,4,1.68,3.06,1.34,2,2,1,21,0,0
8478048,2025,Igor Shesterkin,NYR,G,all,34,120360,97.55,82,2008,73.24,118,256.9,180,1060.67,946,32.71,1,575.94,502,409.59,564,91.91,1095,258,96,34.14,31.68,31.73,34,25,23,559,4,2
8478048,2025,Igor Shesterkin,NYR,G,5on5,34,101011,65.56,51,1596,53.3,90,209.33,146,825.51,738,26.03,1,447.03,385,330.95,459,63.18,902,171,61,27.28,21.15,17.13,26,18,7,462,4,2
8478048,2025,Igor Shesterkin,NYR,G,4on5,34,9453,21.97,20,276,13.51,20,32.92,27,151.84,136,0.77,0,85.49,77,44.25,59,19.56,125,52,26,4.13,6.1,11.74,3,4,13,73,0,0
8478048,2025,Igor Shesterkin,NYR,G,5on4,34,8051,3.51,5,35,1.53,4,3.55,4,25.87,26,5.07,0,7.69,1,15.88,19,3.15,19,9,5,0.78,1.2,1.52,2,1,2,2,0,0
8481020,2025,Justus Annunen,NSH,G,other,18,2109,4.19,6,53,2.45,4,6.53,5,31.32,28,0.49,0,17.97,15,9.79,12,3.61,31,5,6,1.25,0.75,2.19,3,1,2,11,0,0
8481020,2025,Justus Annunen,NSH,G,all,18,54574,43.59,49,830,34.44,46,114.04,99,471.07,423,15.94,0,257.37,241,178.42,209,41.32,475,124,45,14.24,15.07,14.28,21,18,10,186,0,0
8481020,2025,Justus Annunen,NSH,G,5on5,18,43752,29.64,33,649,24.09,32,90.8,81,358.45,320,12.8,0,196.02,186,141.35,162,28.52,377,89,28,11.11,10.48,8.05,15,14,4,155,0,0
8481020,2025,Justus Annunen,NSH,G,4on5,18,4635,8.68,10,114,7.37,10,15.28,13,71.26,64,0.21,0,40.29,39,20.73,23,8.11,58,28,9,1.68,3.5,3.49,3,3,4,19,0,0
8481020,2025,Justus Annunen,NSH,G,5on4,18,4078,1.08,0,14,0.54,0,1.42,0,10.03,11,2.45,0,3.09,1,6.54,12,1.08,9,2,2,0.2,0.34,0.53,0,0,0,1,0,0
8478971,2025,Connor Ingram,EDM,G,other,13,1097,1.34,1,26,0.87,1,2.61,4,12.47,14,0.54,0,7.43,7,4.34,4,1.31,12,4,1,0.4,0.5,0.44,0,0,1,9,0,0
8478971,2025,Connor Ingram,EDM,G,all,13,43133,32.1,32,657,23.98,35,80.2,75,341.38,310,14.24,0,183.97,159,133.1,164,30.76,352,78,35,10.68,9.65,11.77,14,8,10,192,2,1
8478971,2025,Connor Ingram,EDM,G,5on5,13,36166,23.65,25,536,18.89,30,67.3,63,275.16,248,11.73,0,147.61,122,108.96,136,22.77,287,65,24,9.26,8.08,6.32,13,8,4,160,0,0
8478971,2025,Connor Ingram,EDM,G,4on5,13,2930,6.52,6,83,3.9,4,9.19,6,45.95,39,0.39,0,26.51,29,14.42,17,6.1,45,7,10,0.65,0.86,5.01,1,0,5,21,2,1
8478971,2025,Connor Ingram,EDM,G,5on4,13,2940,0.59,0,12,0.32,0,1.1,2,7.81,9,1.58,0,2.42,1,5.37,7,0.57,8,2,0,0.37,0.22,0,0,0,0,2,0,0
8480193,2025,Daniil Tarasov,FLA,G,other,19,2566,6.1,7,65,2.77,4,6.93,6,36.62,37,1.08,0,20.21,16,11.76,15,5.79,26,15,8,0.9,1.67,3.54,2,1,4,16,0,0
8480193,2025,Daniil Tarasov,FLA,G,all,19,66079,50.7,52,1048,39.26,64,140.41,106,572.54,516,19.08,0,311.71,282,225.21,281,48.4,591,144,52,17.07,17.51,16.13,25,16,11,261,0,0
8480193,2025,Daniil Tarasov,FLA,G,5on5,19,52623,37.16,38,830,29.83,53,115.66,84,454.59,402,14.41,0,245.81,228,181.98,222,35.57,486,103,37,13.9,13.01,10.25,22,12,4,204,0,0
8480193,2025,Daniil Tarasov,FLA,G,4on5,19,5035,6.09,6,131,5.83,5,15.73,15,67.3,62,0.41,0,40.9,37,22.05,30,5.72,66,22,5,1.85,2.35,1.9,1,2,3,38,0,0
8480193,2025,Daniil Tarasov,FLA,G,5on4,19,5855,1.35,1,22,0.83,2,2.09,1,14.04,15,3.18,0,4.79,1,9.42,14,1.31,13,4,2,0.41,0.49,0.45,0,1,0,3,0,0
8477424,2025,Juuse Saros,NSH,G,other,44,4212,9.45,13,136,6.04,4,15.88,10,80.69,79,1.59,0,45.02,34,29.86,48,9.09,66,36,7,2.64,4.3,2.51,1,11,1,27,0,0
8477424,2025,Juuse Saros,NSH,G,all,44,150942,121.05,134,2312,90.75,122,310.43,247,1309.41,1241,43.21,2,693.4,602,508.95,662,115.52,1306,343,119,38.67,42.95,39.42,49,58,27,544,2,1
8477424,2025,Juuse Saros,NSH,G,5on5,44,123491,86.16,101,1871,67.87,98,257.86,213,1035.36,976,34.96,2,551.67,484,407.84,509,83.01,1080,243,83,32.05,30.52,23.59,48,39,14,465,2,1
8477424,2025,Juuse Saros,NSH,G,4on5,44,11504,22.1,20,248,15.06,17,30.87,23,153.5,145,0.99,0,84.78,72,43.32,69,20.11,121,55,25,2.69,7.14,12.26,0,8,12,47,0,0
8477424,2025,Juuse Saros,NSH,G,5on4,44,11735,3.2,0,54,1.68,3,5.51,1,38.32,40,5.38,0,11.16,11,27.3,35,3.18,38,8,4,1.27,0.86,1.07,0,0,0,4,0,0
8478872,2025,Karel Vejmelka,UTA,G,other,44,4462,9,9,133,6.21,10,15.85,17,71.6,68,0.95,0,43.07,39,21.01,23,8.34,58,32,8,1.91,3.92,3.18,1,4,4,35,0,0
8478872,2025,Karel Vejmelka,UTA,G,all,44,155156,122.18,111,2429,90.16,150,314.39,271,1294.8,1131,45.85,3,684.17,621,495.1,596,116.42,1277,363,110,38.66,44.95,38.57,38,41,32,679,2,1
8478872,2025,Karel Vejmelka,UTA,G,5on5,44,126001,83.42,78,1858,61.74,101,246.94,212,975.87,851,36.97,2,506.25,458,387.02,468,79.83,977,271,70,30.23,33.68,19.51,31,33,14,540,2,1
8478872,2025,Karel Vejmelka,UTA,G,4on5,44,13022,27.67,24,395,20.99,36,47.28,40,219.71,189,0.98,0,126.06,116,68.36,82,26.2,216,51,31,5.62,6.37,15.68,6,4,14,97,0,0
8478872,2025,Karel Vejmelka,UTA,G,5on4,44,11671,2.02,0,42,1.17,3,4.21,2,26.92,22,6.88,1,8.4,8,18.35,22,1.99,25,9,1,0.84,0.98,0.2,0,0,0,7,0,0
8479979,2025,Jake Oettinger,DAL,G,other,37,3130,5.76,6,100,3.61,4,9.52,7,49.8,46,1.84,1,29.67,29,16.82,21,5.44,48,14,5,2,1.6,2.16,3,2,1,33,0,0
8479979,2025,Jake Oettinger,DAL,G,all,37,131710,99.05,100,2077,73.24,125,263.7,171,1074.07,971,32.99,4,574.85,522,412.1,540,93.74,1098,257,105,33.9,31.31,33.84,41,32,27,617,0,0
8479979,2025,Jake Oettinger,DAL,G,5on5,37,108760,68.68,68,1652,53.78,92,215.94,137,844.37,758,25.32,2,447.68,410,334.09,440,66.59,889,197,63,27.5,24.04,17.14,34,23,11,503,0,0
8479979,2025,Jake Oettinger,DAL,G,4on5,37,10921,21.44,21,279,14.08,27,33.5,25,152.16,134,0.62,0,86.99,77,43.43,55,18.59,135,36,34,3.51,4.33,13.59,3,4,14,74,0,0
8479979,2025,Jake Oettinger,DAL,G,5on4,37,8899,2.67,5,38,1.49,2,4.09,1,23.7,30,5.07,1,8.82,5,15.96,21,2.63,24,7,3,0.77,0.96,0.94,1,3,1,4,0,0
8480947,2025,Kevin Lankinen,VAN,G,other,32,2233,7.63,8,91,4.45,9,12.67,8,57.64,48,0.75,0,28.52,26,19.49,24,6.53,45,20,10,1.68,2.57,3.38,1,3,4,16,0,0
8480947,2025,Kevin Lankinen,VAN,G,all,32,104946,97.11,107,1735,67.58,115,231.77,164,968.59,860,29.89,0,504.34,447,365.04,465,91.44,936,257,105,28.82,33.2,35.08,42,36,29,437,2,1
8480947,2025,Kevin Lankinen,VAN,G,5on5,32,87841,67.08,71,1412,52.05,89,191.84,134,772.58,674,23.64,0,405.79,363,297.91,383,63.7,777,200,63,23.69,26.35,17.04,33,29,9,372,2,1
8480947,2025,Kevin Lankinen,VAN,G,4on5,32,6878,19.86,25,191,9.69,14,22.88,18,112.51,108,0.69,0,60.92,54,30.99,37,18.75,91,28,29,2.76,3.22,13.86,6,3,16,43,0,0
8480947,2025,Kevin Lankinen,VAN,G,5on4,32,7994,2.02,1,34,1.14,1,3.46,3,21.42,24,4.76,0,7.08,3,14.51,21,1.99,19,7,3,0.5,0.72,0.8,1,0,0,5,0,0
8478009,2025,Ilya Sorokin,NYI,G,other,35,3652,8.78,11,106,4.75,9,9.85,8,54.53,51,1.1,1,32.87,29,14.63,16,7.96,41,19,13,1.46,2.45,4.87,4,2,5,33,2,1
8478009,2025,Ilya Sorokin,NYI,G,all,35,125464,112.82,85,2077,83.45,160,266.16,181,1123.63,1012,34.56,2,592.02,545,416.68,535,106.15,1055,312,142,32.78,38.84,41.21,34,33,18,568,2,1
8478009,2025,Ilya Sorokin,NYI,G,5on5,35,102583,79.19,57,1651,60.33,115,216.49,149,877.25,785,26.51,1,464.67,429,339.04,437,75.76,859,245,85,26.57,30.42,22.21,27,26,4,462,0,0
8478009,2025,Ilya Sorokin,NYI,G,4on5,35,9272,22.13,15,278,17.1,34,36.23,24,165.54,150,1.07,0,86.83,77,46,63,19.78,133,43,38,4.08,5.41,12.63,3,3,9,64,0,0
8478009,2025,Ilya Sorokin,NYI,G,5on4,35,9957,2.41,2,36,1.05,2,3.06,0,23.15,24,5.71,0,6.32,8,15.49,17,2.33,19,4,6,0.48,0.43,1.49,0,2,0,7,0,0
8477968,2025,Alex Nedeljkovic,SJS,G,other,25,1556,5.13,4,52,2.32,5,4.81,4,28.8,26,0.72,0,15.23,15,8.56,9,4.3,16,13,8,0.67,1.64,2.82,1,1,2,15,0,0
