game_date,player_id,player_name,position,actual_fpts,predicted_fpts,std_fpts,floor_fpts,ceiling_fpts,p_above_10,p_above_15,p_above_20,p_above_25
2025-11-07,8471817,R. Reaves,R,-0.5,4.359123,4.763725,1.5877428,11.548316,0.12,0.064,0.026,0.004
2025-11-07,8473422,N. Foligno,L,4.1,1.8769833,2.152378,-0.06778885,3.8309157,0.012,0.0,0.0,0.0
2025-11-07,8473604,J. Toews,C,5.1,4.7980385,4.2554507,0.930816,11.9744215,0.16,0.026,0.002,0.0
2025-11-07,8474037,J. van Riemsdyk,L,1.3,1.5744079,2.3009791,-0.61762595,3.4225965,0.006,0.002,0.0,0.0
2025-11-07,8474141,P. Kane,R,11.5,14.394819,8.054278,3.543158,26.408653,0.776,0.42,0.29,0.132
2025-11-07,8474150,M. Backlund,C,6.8,9.611139,6.435201,2.3742344,18.176569,0.44,0.224,0.066,0.008
2025-11-07,8474568,L. Schenn,D,2.6,2.1225033,2.7484536,0.55248266,4.114547,0.026,0.006,0.0,0.0
2025-11-07,8474612,T. Hamonic,D,-0.5,2.9504802,1.9719841,0.69683594,4.86499,0.006,0.0,0.0,0.0
2025-11-07,8474716,J. Spurgeon,D,8.9,5.6906266,4.305212,1.356879,12.287884,0.162,0.032,0.002,0.0
2025-11-07,8475149,M. Johansson,L,7.5,4.7208953,4.212089,0.41838473,12.065753,0.144,0.026,0.002,0.0
2025-11-07,8475151,K. Palmieri,C,3.5,9.123203,5.810689,1.6656294,16.948586,0.438,0.182,0.032,0.004
2025-11-07,8475172,N. Kadri,C,4.0,14.556862,8.062954,3.0507843,24.73088,0.726,0.48,0.262,0.09
2025-11-07,8475200,D. Orlov,D,4.6,12.051515,6.8989916,3.2184577,20.790117,0.606,0.334,0.126,0.028
2025-11-07,8475220,M. Foligno,L,7.0,1.5471845,2.2105548,-0.24980399,5.1501675,0.002,0.0,0.0,0.0
2025-11-07,8475231,C. Cizikas,C,8.9,2.3450475,2.8625066,0.09148257,7.655393,0.034,0.0,0.0,0.0
2025-11-07,8475279,B. Chiarot,D,3.6,4.4722204,4.0014462,1.1506212,9.22323,0.068,0.026,0.01,0.002
2025-11-07,8475314,A. Lee,L,7.5,5.095161,3.3955355,1.3653946,9.526321,0.092,0.004,0.0,0.0
2025-11-07,8475692,M. Zuccarello,R,6.0,4.3982143,4.1981254,0.28790808,10.332687,0.124,0.02,0.002,0.0
2025-11-07,8475726,T. Toffoli,C,5.5,15.362827,7.263765,4.557468,25.238676,0.74,0.54,0.306,0.106
2025-11-07,8475765,V. Tarasenko,R,7.3,6.392954,5.663303,1.1055639,15.592815,0.29,0.118,0.014,0.0
2025-11-07,8475784,J. Skinner,L,2.8,8.1502,5.916415,2.3805373,17.350847,0.348,0.164,0.04,0.002
2025-11-07,8475799,N. Niederreiter,R,9.8,4.3441277,4.6818624,0.6864573,11.996788,0.154,0.032,0.004,0.0
2025-11-07,8475842,S. Carrick,C,0.0,2.2034216,2.9142275,0.06818004,4.323068,0.046,0.012,0.002,0.0
