,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance,team_std,situation,from_date,to_date,fetch_date
1,Jonathan Quick,NYR,20,930.26666666667,420,373,47,0.888,3.03,-7.36,40.36,112,90,22,0.804,1.42,-1.80,95,78,17,0.821,1.10,-5.40,202,194,8,0.960,0.52,-0.63,17,76,35.05,21.81,NYR,5v5,2025-10-07,2025-11-06,2026-02-16
2,James Reimer,OTT,7,339.6,116,104,12,0.897,2.12,-1.05,13.02,26,20,6,0.769,1.06,-1.31,25,20,5,0.800,0.88,-1.95,60,59,1,0.983,0.18,1.19,1,30,38.57,18.75,OTT,5v5,2025-10-07,2025-11-06,2026-02-16
3,Jacob Markstrom,N.J,30,1418.1666666667,610,546,64,0.895,2.71,-6.42,58.75,152,124,28,0.816,1.18,-0.59,159,136,23,0.855,0.97,-3.58,268,255,13,0.951,0.55,-3.22,28,108,36.43,22.53,NJD,5v5,2025-10-07,2025-11-06,2026-02-16
4,Jake Allen,N.J,28,1374.4166666667,627,566,61,0.903,2.66,-1.82,63.54,172,132,40,0.767,1.75,-8.98,163,147,16,0.902,0.70,3.90,261,256,5,0.981,0.22,4.53,20,141,35.48,16.74,NJD,5v5,2025-10-07,2025-11-06,2026-02-16
5,Darcy Kuemper,L.A,36,1673.8333333333,672,618,54,0.920,1.94,9.43,62.97,172,143,29,0.831,1.04,2.02,171,156,15,0.912,0.54,5.88,284,274,10,0.965,0.36,0.36,32,133,36.25,18.89,LAK,5v5,2025-10-07,2025-11-06,2026-02-16
6,Cam Talbot,DET,24,1073.0333333333,489,442,47,0.904,2.63,-0.84,46.86,129,100,29,0.775,1.62,-5.74,129,114,15,0.884,0.84,0.75,207,204,3,0.986,0.17,4.55,18,77,34.87,18.38,DET,5v5,2025-10-07,2025-11-06,2026-02-16
7,Sergei Bobrovsky,FLA,40,1770.6666666667,708,621,87,0.877,2.95,-20.17,74.08,212,160,52,0.755,1.76,-13.77,148,123,25,0.831,0.85,-6.93,298,288,10,0.966,0.34,0.88,34,144,36.89,18.37,FLA,5v5,2025-10-07,2025-11-06,2026-02-16
8,Calvin Pickard,EDM,16,713.81666666667,326,286,40,0.877,3.36,-9.23,34.03,89,65,24,0.730,2.02,-7.95,109,97,12,0.890,1.01,1.31,113,109,4,0.965,0.34,0.12,24,59,32.26,16.95,EDM,5v5,2025-10-07,2025-11-06,2026-02-16
9,Scott Wedgewood,COL,31,1416.55,607,559,48,0.921,2.03,9.29,58.4,167,140,27,0.838,1.14,3.12,113,105,8,0.929,0.34,5.80,291,278,13,0.955,0.55,-2.38,31,129,36.26,18.52,COL,5v5,2025-10-07,2025-11-06,2026-02-16
10,Philipp Grubauer,SEA,22,1013.35,469,438,31,0.934,1.84,13.27,49.36,123,107,16,0.870,0.95,6.18,109,101,8,0.927,0.47,5.31,219,212,7,0.968,0.41,0.99,16,123,34.10,22.10,SEA,5v5,2025-10-07,2025-11-06,2026-02-16
11,Petr Mrazek,ANA,10,406.83333333333,191,167,24,0.874,3.54,-5.97,19.11,54,42,12,0.778,1.77,-2.26,56,46,10,0.821,1.47,-3.16,69,67,2,0.971,0.29,0.52,8,37,35.54,18.33,ANA,5v5,2025-10-07,2025-11-06,2026-02-16
12,Frederik Andersen,CAR,22,1057.8333333333,443,390,53,0.880,3.01,-11.19,51.23,138,107,31,0.775,1.76,-6.11,119,100,19,0.840,1.08,-4.47,158,155,3,0.981,0.17,2.77,11,91,33.85,18.92,CAR,5v5,2025-10-07,2025-11-06,2026-02-16
13,Anton Forsberg,L.A,22,979.95,422,390,32,0.924,1.96,7.83,42.06,109,93,16,0.853,0.98,3.66,101,88,13,0.871,0.80,-0.67,184,181,3,0.984,0.18,3.72,21,92,36.04,19.13,LAK,5v5,2025-10-07,2025-11-06,2026-02-16
