,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance,team_std,situation,from_date,to_date,fetch_date
1,Jonathan Quick,NYR,20,84.966666666667,81,74,7,0.914,4.94,4.75,13.04,28,22,6,0.786,4.24,-0.24,22,22,0,1.000,0.00,3.19,30,29,1,0.967,0.71,1.63,1,16,28.85,8.43,NYR,pk,2025-10-07,2025-11-20,2026-02-16
2,James Reimer,OTT,7,33.35,28,22,6,0.786,10.79,-1.94,4.78,9,8,1,0.889,1.80,0.85,10,7,3,0.700,5.40,-1.55,9,7,2,0.778,3.60,-1.21,0,8,21.43,21.50,OTT,pk,2025-10-07,2025-11-20,2026-02-16
3,Jacob Markstrom,N.J,30,112.78333333333,127,105,22,0.827,11.70,-3.58,19.71,39,28,11,0.718,5.85,-2.97,41,36,5,0.878,2.66,0.94,47,41,6,0.872,3.19,-1.88,3,31,28.42,22.00,NJD,pk,2025-10-07,2025-11-20,2026-02-16
4,Jake Allen,N.J,28,118.46666666667,92,84,8,0.913,4.05,5.34,17.13,28,24,4,0.857,2.03,1.76,27,25,2,0.926,1.01,1.91,37,35,2,0.946,1.01,1.24,0,22,28.24,15.63,NJD,pk,2025-10-07,2025-11-20,2026-02-16
5,Darcy Kuemper,L.A,36,173.75,155,128,27,0.826,9.32,-4.52,24.74,56,45,11,0.804,3.80,0.53,41,32,9,0.780,3.11,-3.06,58,51,7,0.879,2.42,-1.91,0,31,25.75,19.59,LAK,pk,2025-10-07,2025-11-20,2026-02-16
6,Cam Talbot,DET,24,87.35,73,61,12,0.836,8.24,-1.41,12.73,21,16,5,0.762,3.43,-0.68,23,20,3,0.870,2.06,0.33,29,25,4,0.862,2.75,-1.46,0,18,27.81,23.17,DET,pk,2025-10-07,2025-11-20,2026-02-16
7,Sergei Bobrovsky,FLA,40,229,147,121,26,0.823,6.81,-4.68,27.43,53,37,16,0.698,4.19,-5.09,39,34,5,0.872,1.31,0.65,53,48,5,0.906,1.31,-0.35,0,28,27.08,17.19,FLA,pk,2025-10-07,2025-11-20,2026-02-16
8,Calvin Pickard,EDM,16,64.783333333333,58,49,9,0.845,8.34,-0.59,11.05,25,21,4,0.840,3.70,1.15,10,8,2,0.800,1.85,-0.55,23,20,3,0.870,2.78,-0.98,1,15,24.64,20.44,EDM,pk,2025-10-07,2025-11-20,2026-02-16
9,Scott Wedgewood,COL,31,137.08333333333,113,99,14,0.876,6.13,2.39,16.24,33,25,8,0.758,3.50,-1.21,33,29,4,0.879,1.75,0.78,47,45,2,0.957,0.88,2.12,0,14,27.61,19.29,COL,pk,2025-10-07,2025-11-20,2026-02-16
10,Philipp Grubauer,SEA,22,99.183333333333,85,72,13,0.847,7.86,-0.67,15.03,22,19,3,0.864,1.81,1.53,29,22,7,0.759,4.23,-2.80,34,31,3,0.912,1.81,-0.02,0,18,27.80,23.38,SEA,pk,2025-10-07,2025-11-20,2026-02-16
11,Petr Mrazek,ANA,10,50.833333333333,43,33,10,0.767,11.80,-3.76,7.15,19,15,4,0.789,4.72,-0.09,11,8,3,0.727,3.54,-1.41,13,10,3,0.769,3.54,-1.86,0,3,25.14,28.20,ANA,pk,2025-10-07,2025-11-20,2026-02-16
12,Frederik Andersen,CAR,22,114.21666666667,79,66,13,0.835,6.83,-1.54,13.69,27,20,7,0.741,3.68,-1.44,28,24,4,0.857,2.10,0.06,23,21,2,0.913,1.05,0.02,1,25,26.81,17.62,CAR,pk,2025-10-07,2025-11-20,2026-02-16
13,Anton Forsberg,L.A,22,112.35,100,85,15,0.850,8.01,-0.50,16.42,41,35,6,0.854,3.20,2.44,27,23,4,0.852,2.14,-0.09,32,27,5,0.844,2.67,-2.19,0,17,24.02,20.00,LAK,pk,2025-10-07,2025-11-20,2026-02-16
