,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance,team_std,situation,from_date,to_date,fetch_date
1,Jonathan Quick,NYR,20,76.383333333333,11,10,1,0.909,0.79,-0.06,0.88,2,2,0,1.000,0.00,0.40,4,4,0,1.000,0.00,0.55,2,1,1,0.500,0.79,-0.95,2,1,64.73,21.00,NYR,pp,2025-10-07,2025-11-20,2026-02-16
2,James Reimer,OTT,7,31.183333333333,1,1,0,1.000,0.00,0.09,0.58,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,1,161.00,-,OTT,pp,2025-10-07,2025-11-20,2026-02-16
3,Jacob Markstrom,N.J,30,128.95,12,11,1,0.917,0.47,0.03,1.02,2,2,0,1.000,0.00,0.40,4,3,1,0.750,0.47,-0.45,3,3,0,1.000,0.00,0.08,0,1,61.67,19.00,NJD,pp,2025-10-07,2025-11-20,2026-02-16
4,Jake Allen,N.J,28,107.9,16,16,0,1.000,0.00,1.37,1.34,3,3,0,1.000,0.00,0.60,4,4,0,1.000,0.00,0.55,4,4,0,1.000,0.00,0.10,3,3,71.31,-,NJD,pp,2025-10-07,2025-11-20,2026-02-16
5,Darcy Kuemper,L.A,36,161.2,20,18,2,0.900,0.74,-0.29,2.35,6,6,0,1.000,0.00,1.21,6,4,2,0.667,0.74,-1.17,3,3,0,1.000,0.00,0.08,6,0,56.70,30.50,LAK,pp,2025-10-07,2025-11-20,2026-02-16
6,Cam Talbot,DET,24,126.91666666667,22,21,1,0.955,0.47,0.88,1.3,2,1,1,0.500,0.47,-0.60,6,6,0,1.000,0.00,0.83,3,3,0,1.000,0.00,0.08,10,0,91.82,18.00,DET,pp,2025-10-07,2025-11-20,2026-02-16
7,Sergei Bobrovsky,FLA,40,237.96666666667,34,31,3,0.912,0.76,-0.09,2.41,8,7,1,0.875,0.25,0.61,8,6,2,0.750,0.50,-0.89,3,3,0,1.000,0.00,0.08,8,0,80.62,19.33,FLA,pp,2025-10-07,2025-11-20,2026-02-16
8,Calvin Pickard,EDM,16,66.5,12,10,2,0.833,1.80,-0.97,0.74,4,2,2,0.500,1.80,-1.19,1,1,0,1.000,0.00,0.14,3,3,0,1.000,0.00,0.08,1,0,68.25,10.50,EDM,pp,2025-10-07,2025-11-20,2026-02-16
9,Scott Wedgewood,COL,31,185.58333333333,29,24,5,0.828,1.62,-2.52,2.54,11,6,5,0.545,1.62,-2.79,3,3,0,1.000,0.00,0.42,5,5,0,1.000,0.00,0.13,7,1,73.14,7.80,COL,pp,2025-10-07,2025-11-20,2026-02-16
10,Philipp Grubauer,SEA,22,80.583333333333,12,10,2,0.833,1.49,-0.97,0.88,4,2,2,0.500,1.49,-1.19,0,0,0,-,0.00,0.00,5,5,0,1.000,0.00,0.13,2,0,57.08,8.50,SEA,pp,2025-10-07,2025-11-20,2026-02-16
11,Petr Mrazek,ANA,10,47.033333333333,7,7,0,1.000,0.00,0.60,0.64,1,1,0,1.000,0.00,0.20,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.03,1,1,95.86,-,ANA,pp,2025-10-07,2025-11-20,2026-02-16
12,Frederik Andersen,CAR,22,111.13333333333,23,21,2,0.913,1.08,-0.03,2.88,12,10,2,0.833,1.08,0.42,1,1,0,1.000,0.00,0.14,4,4,0,1.000,0.00,0.10,6,3,56.13,17.00,CAR,pp,2025-10-07,2025-11-20,2026-02-16
13,Anton Forsberg,L.A,22,108.23333333333,20,18,2,0.900,1.11,-0.29,3.05,7,7,0,1.000,0.00,1.41,7,5,2,0.714,1.11,-1.03,1,1,0,1.000,0.00,0.03,4,7,45.85,14.50,LAK,pp,2025-10-07,2025-11-20,2026-02-16
14,Jordan Binnington,STL,32,144.43333333333,20,19,1,0.950,0.42,0.71,1.55,5,4,1,0.800,0.42,0.01,4,4,0,1.000,0.00,0.55,3,3,0,1.000,0.00,0.08,5,1,80.00,5.00,STL,pp,2025-10-07,2025-11-20,2026-02-16
15,John Gibson,DET,37,173.01666666667,30,27,3,0.900,1.04,-0.43,1.92,5,4,1,0.800,0.35,0.01,9,7,2,0.778,0.69,-0.75,5,5,0,1.000,0.00,0.13,6,1,75.50,24.00,DET,pp,2025-10-07,2025-11-20,2026-02-16
16,Andrei Vasilevskiy,T.B,37,202.05,32,30,2,0.938,0.59,0.74,2.29,4,3,1,0.750,0.30,-0.19,8,8,0,1.000,0.00,1.11,10,9,1,0.900,0.30,-0.74,9,3,69.78,29.00,TBL,pp,2025-10-07,2025-11-20,2026-02-16
17,Matt Murray,SEA,5,19.133333333333,4,4,0,1.000,0.00,0.34,0.2,1,1,0,1.000,0.00,0.20,1,1,0,1.000,0.00,0.14,1,1,0,1.000,0.00,0.03,0,0,73.25,-,SEA,pp,2025-10-07,2025-11-20,2026-02-16
18,Joonas Korpisalo,BOS,22,94.5,18,17,1,0.944,0.63,0.54,2.07,6,5,1,0.833,0.63,0.21,5,5,0,1.000,0.00,0.69,4,4,0,1.000,0.00,0.10,3,2,45.11,10.00,BOS,pp,2025-10-07,2025-11-20,2026-02-16
19,Anthony Stolarz,TOR,16,59.033333333333,11,9,2,0.818,2.03,-1.06,0.85,2,1,1,0.500,1.02,-0.60,5,4,1,0.800,1.02,-0.31,1,1,0,1.000,0.00,0.03,0,1,63.73,24.50,TOR,pp,2025-10-07,2025-11-20,2026-02-16
20,Connor Hellebuyck,WPG,36,159.43333333333,25,25,0,1.000,0.00,2.14,2.58,10,10,0,1.000,0.00,2.01,3,3,0,1.000,0.00,0.42,7,7,0,1.000,0.00,0.18,4,3,51.04,-,WPG,pp,2025-10-07,2025-11-20,2026-02-16
21,Linus Ullmark,OTT,30,160.13333333333,17,17,0,1.000,0.00,1.45,1.6,5,5,0,1.000,0.00,1.01,2,2,0,1.000,0.00,0.28,5,5,0,1.000,0.00,0.13,3,0,65.88,-,OTT,pp,2025-10-07,2025-11-20,2026-02-16
22,Marcus Hogberg,NYI,1,1.1166666666667,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-,NYI,pp,2025-10-07,2025-11-20,2026-02-16
23,Juuse Saros,NSH,44,203.95,40,40,0,1.000,0.00,3.42,3.22,7,7,0,1.000,0.00,1.41,15,15,0,1.000,0.00,2.08,9,9,0,1.000,0.00,0.23,4,3,54.45,-,NSH,pp,2025-10-07,2025-11-20,2026-02-16
24,Tristan Jarry,"EDM, PIT",25,93.366666666667,21,20,1,0.952,0.64,0.80,1.99,6,5,1,0.833,0.64,0.21,8,8,0,1.000,0.00,1.11,6,6,0,1.000,0.00,0.16,1,1,32.86,10.00,"EDM, PIT",pp,2025-10-07,2025-11-20,2026-02-16
25,Eric Comrie,WPG,19,95.85,14,12,2,0.857,1.25,-0.80,0.95,4,3,1,0.750,0.63,-0.19,3,2,1,0.667,0.63,-0.58,1,1,0,1.000,0.00,0.03,0,1,66.36,21.50,WPG,pp,2025-10-07,2025-11-20,2026-02-16
26,Spencer Martin,NYR,6,24.9,4,3,1,0.750,2.41,-0.66,0.66,0,0,0,-,0.00,0.00,1,0,1,0.000,2.41,-0.86,2,2,0,1.000,0.00,0.05,1,1,64.00,18.00,NYR,pp,2025-10-07,2025-11-20,2026-02-16
27,Pheonix Copley,L.A,1,4.3833333333333,1,1,0,1.000,0.00,0.09,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,144.00,-,LAK,pp,2025-10-07,2025-11-20,2026-02-16
28,Thatcher Demko,VAN,20,100.75,13,11,2,0.846,1.19,-0.89,1.37,4,3,1,0.750,0.60,-0.19,4,3,1,0.750,0.60,-0.45,1,1,0,1.000,0.00,0.03,3,3,63.46,21.00,VAN,pp,2025-10-07,2025-11-20,2026-02-16
