,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance,team_std,situation,from_date,to_date,fetch_date
1,Jonathan Quick,NYR,20,1122.65,528,470,58,0.890,3.10,-3.11,56.14,147,116,31,0.789,1.66,-3.41,126,109,17,0.865,0.91,-0.97,240,230,10,0.958,0.53,0.63,21,98,34.63,19.45,NYR,all,2025-10-07,2025-11-27,2026-02-16
2,James Reimer,OTT,7,414.4,154,134,20,0.870,2.90,-3.99,19.26,38,31,7,0.816,1.01,0.13,39,29,10,0.744,1.45,-5.04,71,68,3,0.958,0.43,0.14,2,40,35.27,21.10,OTT,all,2025-10-07,2025-11-27,2026-02-16
3,Jacob Markstrom,N.J,30,1704.7666666667,773,682,91,0.882,3.20,-10.63,82.81,201,158,43,0.786,1.51,-5.28,213,184,29,0.864,1.02,-1.91,325,306,19,0.942,0.67,-4.61,32,149,35.19,21.77,NJD,all,2025-10-07,2025-11-27,2026-02-16
4,Jake Allen,N.J,28,1647.35,767,694,73,0.905,2.66,6.74,84.86,214,167,47,0.780,1.71,-6.84,204,186,18,0.912,0.66,7.95,312,304,8,0.974,0.29,5.82,23,173,35.10,16.47,NJD,all,2025-10-07,2025-11-27,2026-02-16
5,Darcy Kuemper,L.A,36,2081.4833333333,902,812,90,0.900,2.59,3.78,94.61,248,204,44,0.823,1.27,2.54,240,211,29,0.879,0.84,1.52,364,347,17,0.953,0.49,-0.88,38,171,34.47,19.29,LAK,all,2025-10-07,2025-11-27,2026-02-16
6,Cam Talbot,DET,24,1342.3333333333,616,549,67,0.891,2.99,-2.96,64.13,161,123,38,0.764,1.70,-7.79,173,151,22,0.873,0.98,0.00,246,239,7,0.972,0.31,3.89,29,101,35.63,19.66,DET,all,2025-10-07,2025-11-27,2026-02-16
7,Sergei Bobrovsky,FLA,40,2318.2166666667,938,817,121,0.871,3.13,-23.48,108.29,288,215,73,0.747,1.89,-18.95,210,178,32,0.848,0.83,-5.29,373,357,16,0.957,0.41,0.52,42,180,36.42,18.10,FLA,all,2025-10-07,2025-11-27,2026-02-16
8,Calvin Pickard,EDM,16,864.13333333333,410,357,53,0.871,3.68,-10.37,47,120,89,31,0.742,2.15,-8.48,128,113,15,0.883,1.04,1.28,143,136,7,0.951,0.49,-0.67,27,79,32.21,17.13,EDM,all,2025-10-07,2025-11-27,2026-02-16
9,Scott Wedgewood,COL,31,1798.7333333333,781,712,69,0.912,2.30,12.20,80.02,219,178,41,0.813,1.37,0.10,161,148,13,0.919,0.43,7.48,355,340,15,0.958,0.50,0.72,39,149,36.04,17.70,COL,all,2025-10-07,2025-11-27,2026-02-16
10,Philipp Grubauer,SEA,22,1236.8,597,547,50,0.916,2.43,12.07,67.56,158,135,23,0.854,1.12,6.65,147,132,15,0.898,0.73,3.70,271,259,12,0.956,0.58,0.00,20,143,33.40,22.12,SEA,all,2025-10-07,2025-11-27,2026-02-16
11,Petr Mrazek,ANA,10,515.88333333333,247,212,35,0.858,4.07,-9.32,27.47,77,61,16,0.792,1.86,-1.55,70,56,14,0.800,1.63,-5.10,83,78,5,0.940,0.58,-1.32,9,41,35.08,21.57,ANA,all,2025-10-07,2025-11-27,2026-02-16
12,Frederik Andersen,CAR,22,1324.9833333333,560,488,72,0.871,3.26,-13.78,69.28,182,140,42,0.769,1.90,-7.84,153,128,25,0.837,1.13,-5.54,190,185,5,0.974,0.23,3.41,19,120,33.52,18.64,CAR,all,2025-10-07,2025-11-27,2026-02-16
13,Anton Forsberg,L.A,22,1259.4833333333,575,521,54,0.906,2.57,5.78,65.26,170,147,23,0.865,1.10,8.90,146,124,22,0.849,1.05,-3.43,226,217,9,0.960,0.43,1.01,26,124,33.63,19.91,LAK,all,2025-10-07,2025-11-27,2026-02-16
14,Jordan Binnington,STL,32,1774.5333333333,794,686,108,0.864,3.65,-25.45,82.96,216,162,54,0.750,1.83,-13.46,195,163,32,0.836,1.08,-7.20,336,314,22,0.935,0.74,-7.12,27,176,35.15,20.96,STL,all,2025-10-07,2025-11-27,2026-02-16
15,John Gibson,DET,37,2155.1833333333,979,885,94,0.904,2.62,7.78,106.23,247,203,44,0.822,1.22,2.35,269,238,31,0.885,0.86,3.21,419,400,19,0.955,0.53,-0.45,34,183,35.30,22.37,DET,all,2025-10-07,2025-11-27,2026-02-16
