date,Player,Pos,Team,fc_proj,own_pred,Ownership,FPs,leverage,is_high_leverage,is_chalk,is_contrarian
2026-02-04,Nathan MacKinnon,C,COL,31.96,33.569324,36.8,16.0,0.9245190777764327,0,1,0
2026-02-04,Valeri Nichushkin,W,COL,13.53,26.26874,32.2,22.3,0.49617254587833126,0,1,0
2026-02-04,Jack Eichel,C,VGK,23.62,18.25633,9.2,24.0,1.2266096083118403,0,1,0
2026-02-04,Cale Makar,D,COL,18.65,17.518429,9.2,5.0,1.00710487908629,0,1,0
2026-02-04,MacKenzie Blackwood,G,COL,13.47,16.907719,3.4,15.1,0.7521896148198673,0,1,0
2026-02-04,Artturi Lehkonen,W,COL,11.29,16.499334,12.6,27.5,0.6451673980082816,0,1,0
2026-02-04,Devon Toews,D,COL,12.21,15.369215,10.3,3.0,0.7459123721785006,0,1,0
2026-02-04,Connor McDavid,C,EDM,27.36,15.066358,5.7,20.0,1.7029374226410767,0,1,0
2026-02-04,Tomas Hertl,C,VGK,18.64,13.267441,3.4,6.9,1.3064711651271455,0,1,0
2026-02-04,Brock Nelson,C,COL,23.49,12.225148,8.0,19.0,1.7761615705934988,0,1,0
2026-02-04,Ivan Barbashev,W,VGK,11.0,11.607916,9.2,13.0,0.872467750116903,0,1,0
2026-02-04,Jet Greaves,G,CBJ,12.5,10.34153,4.6,24.7,1.1021440819289137,0,1,0
2026-02-04,Zach Werenski,D,CBJ,18.7,10.337785,3.4,11.5,1.6493521780533151,0,1,0
2026-02-04,David Pastrnak,W,BOS,19.49,10.28103,6.9,9.3,1.727679167254557,0,1,0
2026-02-04,Kirill Kaprizov,W,MIN,18.42,10.126674,9.2,16.8,1.6554812785250366,0,1,0
2026-02-04,Mitchell Marner,C,VGK,17.23,9.815104,24.1,6.5,1.5931424004215704,0,1,0
2026-02-04,Mark Stone,W,VGK,20.8,9.773113,13.8,14.5,1.930732511197345,0,1,0
2026-02-04,Ross Colton,W,COL,10.72,9.773113,10.3,4.5,0.9950698326940163,0,1,0
2026-02-04,Mikko Rantanen,W,DAL,16.38,9.773113,8.0,6.5,1.520451852567909,0,1,0
2026-02-04,Sam Reinhart,W,FLA,16.36,9.773113,5.7,12.1,1.51859537899945,0,1,0
2026-02-04,Pavel Dorofeyev,W,VGK,16.59,9.179734,20.7,22.0,1.629708558700983,0,1,0
2026-02-04,Jason Robertson,W,DAL,16.47,8.634631,8.0,25.5,1.7094582793829296,0,1,0
