assists,evGoals,evPoints,faceoff_pct,gw_goals,games_played,goals,lastName,ot_goals,pim,player_id,plus_minus,points,pointsPerGame,position,pp_goals,pp_points,seasonId,sh_goals,sh_points,shooting_pct,shootsCatches,shots,name,team,toi_per_game,goals_per_game,assists_per_game,points_per_game,shots_per_game,pp_points_per_game,goals_pg,assists_pg,points_pg,shots_pg,blocks_pg,pp_points_pg,pp_share,pp_goals_pg,sh_goals_pg,sh_points_pg,shooting_pct_adj,high_shot_volume,elite_shot_volume,prob_5plus_shots,prob_3plus_points,prob_hat_trick,is_center,is_wing,is_defense,toi_minutes,toi_vs_position,opponent,is_home,opp_ga_pg,opp_gf_pg,opp_softness,consistency,projected_fpts,floor,ceiling,salary,dk_position,dk_id,dk_avg_fpts,value,edge,games_started,goals_against,gaa,losses,ot_losses,penaltyMinutes,save_pct,saves,shots_against,shutouts,ties,toi,wins,saves_per_start,ga_per_start,shots_against_per_start,saves_pg,ga_pg,sa_pg,win_rate,save_pct_above_avg,high_workload,prob_35plus_saves,gaa_quality,team_gf_pg,team_ga_pg,team_quality,opp_offense_weakness
0,,,,,5,0,Schmid,,,8481033,,0,,G,,,20242025,,,,L,,Akira Schmid,VGK,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOR,False,,3.32,,,19.765149813670288,5.929544944101086,49.530299627340575,7800,G,41697407,10.71,2.533993565855165,9.055149813670287,3.0,5.0,1.25997,0.0,1.0,0.0,0.94444,85.0,90.0,0.0,,14286.0,2.0,28.333333333333332,1.6666666666666667,30.0,28.333333333333332,1.6666666666666667,30.0,0.6666666666666666,0.03943999999999992,1.0,0.48583712301149196,1.74003,3.3469387755102042,3.0816326530612246,0.26530612244897966,0.9036144578313253
1,,,,,27,0,DeSmith,,,8479193,,1,,G,,,20242025,,,,L,,Casey DeSmith,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,True,,2.42,,,17.053601389616766,5.11608041688503,44.10720277923353,8000,G,41697403,12.93,2.1317001737020957,4.123601389616766,24.0,65.0,2.59222,8.0,2.0,2.0,0.91458,696.0,761.0,2.0,,90270.0,14.0,29.0,2.7083333333333335,31.708333333333332,29.0,2.7083333333333335,31.708333333333332,0.5833333333333334,0.009579999999999922,1.0,0.49117700004343606,0.4077799999999998,3.3137254901960786,2.784313725490196,0.5294117647058827,1.2396694214876034
1,,,,,58,0,Oettinger,,,8479979,,1,,G,,,20242025,,,,L,,Jake Oettinger,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,True,,2.42,,,15.124484193433293,4.537345258029988,40.248968386866586,8000,G,41697402,11.92,1.8905605241791616,3.2044841934332933,58.0,147.0,2.58645,18.0,4.0,0.0,0.90875,1464.0,1611.0,2.0,,204604.0,36.0,25.24137931034483,2.5344827586206895,27.775862068965516,25.24137931034483,2.5344827586206895,27.775862068965516,0.6206896551724138,0.00374999999999992,0.0,0.4779070082776791,0.41354999999999986,3.3137254901960786,2.784313725490196,0.5294117647058827,1.2396694214876034
60,12.0,47.0,,3.0,68,16,Hughes,0.0,29.0,8480800,2.0,76,1.11764,D,4.0,29.0,20242025,0.0,0.0,0.08333,L,192.0,Quinn Hughes,VAN,1543.75,0.23529411764705882,0.8823529411764706,1.1176470588235294,2.823529411764706,0.4264705882352941,0.23529411764705882,0.8823529411764706,1.1176470588235294,2.823529411764706,1.5,0.4264705882352941,0.3815789473684211,0.058823529411764705,0.0,0.0,0.08333,0.0,0.0,0.2945034608512957,0.05400514069873004,1.4328794526188922e-11,0.0,0.0,1.0,25.729166666666668,1.406599582884821,NJD,True,3.02,2.62,1.0066666666666666,4.732236681608702,14.38881075710771,5.755524302843084,40.97202689276927,7600,D/UTIL,41697092,11.99,1.893264573303646,2.398810757107709,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,22.0,58.0,0.45614,3.0,77,28,Eichel,0.0,8.0,8478403,32.0,94,1.22077,C,5.0,34.0,20242025,1.0,2.0,0.12017,R,233.0,Jack Eichel,VGK,1232.0129,0.36363636363636365,0.8571428571428571,1.2207792207792207,3.0259740259740258,0.44155844155844154,0.36363636363636365,0.8571428571428571,1.2207792207792207,3.0259740259740258,0.5,0.44155844155844154,0.3617021276595745,0.06493506493506493,0.012987012987012988,0.025974025974025976,0.12017,0.0,0.0,0.3231480651476522,0.07743924249374677,2.0377483477747075e-07,1.0,0.0,0.0,20.533548333333332,1.4396062659974946,TOR,False,3.32,3.32,1.1066666666666667,5.318579606608073,14.19280372180967,5.677121488723868,40.482009304524176,9500,C/UTIL,41696534,16.51,1.49397933913786,-2.317196278190332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,29,0,Gibson,,,8476434,,1,,G,,,20242025,,,,L,,John Gibson,ANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA,False,,2.795918367346939,,,13.896871800303657,4.169061540091097,37.793743600607314,7300,G,41697419,12.69,1.9036810685347476,1.2068718003036576,28.0,72.0,2.76541,11.0,2.0,4.0,0.91245,740.0,811.0,0.0,,93729.0,11.0,26.428571428571427,2.5714285714285716,28.964285714285715,26.428571428571427,2.5714285714285716,28.964285714285715,0.39285714285714285,0.007449999999999957,0.0,0.4822947054835098,0.23458999999999985,3.3,3.52,-0.2200000000000002,1.072992700729927
0,,,,,50,0,Hill,,,8478499,,0,,G,,,20242025,,,,L,,Adin Hill,VGK,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOR,False,,3.32,,,13.449881602421344,4.034964480726403,36.899763204842685,7800,G,41697406,5.49,1.7243437951822236,7.959881602421344,50.0,121.0,2.4692,13.0,5.0,4.0,0.90641,1172.0,1293.0,4.0,,176413.0,32.0,23.44,2.42,25.86,23.44,2.42,25.86,0.64,0.0014100000000000223,0.0,0.4699935644808246,0.5308000000000002,3.3469387755102042,3.0816326530612246,0.26530612244897966,0.9036144578313253
0,,,,,36,0,Soderblom,,,8482821,,0,,G,,,20242025,,,,L,,Arvid Soderblom,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBL,True,,3.5416666666666665,,,12.82295955095746,3.846887865287238,35.64591910191492,7000,G,41697427,6.69,1.8318513644224943,6.13295955095746,33.0,111.0,3.17672,18.0,7.0,0.0,0.89788,976.0,1087.0,0.0,,125790.0,10.0,29.575757575757574,3.3636363636363638,32.93939393939394,29.575757575757574,3.3636363636363638,32.93939393939394,0.30303030303030304,-0.007120000000000015,1.0,0.49468281314914414,-0.17672,2.78,3.14,-0.3600000000000003,0.8470588235294118
75,20.0,67.0,0.29411,7.0,81,27,Marner,3.0,14.0,8478483,18.0,102,1.25925,R,6.0,33.0,20242025,1.0,2.0,0.15606,R,173.0,Mitch Marner,TOR,1278.9259,0.3333333333333333,0.9259259259259259,1.2592592592592593,2.1358024691358026,0.4074074074074074,0.3333333333333333,0.9259259259259259,1.2592592592592593,2.1358024691358026,0.5,0.4074074074074074,0.3235294117647059,0.07407407407407407,0.012345679012345678,0.024691358024691357,0.15606,0.0,0.0,0.17948421880743462,0.08706577244027125,4.1399375473943306e-08,0.0,1.0,0.0,21.315431666666665,1.4956016970592845,VGK,True,3.0816326530612246,3.3469387755102042,1.0272108843537415,5.549202015073504,12.613286994638893,5.045314797855557,36.53321748659723,6200,C/UTIL,41696556,10.52,2.034401128167563,2.093286994638893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,26.0,61.0,0.36842,6.0,82,35,Robertson,1.0,18.0,8480027,10.0,80,0.9756,L,9.0,19.0,20242025,0.0,0.0,0.16587,L,211.0,Jason Robertson,DAL,1067.6097,0.4268292682926829,0.5487804878048781,0.975609756097561,2.573170731707317,0.23170731707317074,0.4268292682926829,0.5487804878048781,0.975609756097561,2.573170731707317,0.5,0.23170731707317074,0.2375,0.10975609756097561,0.0,0.0,0.16587,0.0,0.0,0.25561644816473456,0.028539819299205696,2.731343303937426e-06,0.0,1.0,0.0,17.793495,1.3085346225371326,STL,True,3.42,2.42,1.14,4.311064007606437,12.376427227759866,4.950570891103947,35.94106806939966,8500,W/UTIL,41696718,15.49,1.456050262089396,-3.1135727722401345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
