player_name,team,boost_pct,max_speed_mph,speed_percentile,bursts_over_20,bursts_percentile,oz_time_pct,oz_percentile,boost_reasons
Connor McDavid,EDM,17.8,24.6,100.0,479,100.0,47.6,98.0,Elite OZ; Elite Speed; Elite Bursts
Leon Draisaitl,EDM,17.8,23.3,93.0,122,91.0,47.2,98.0,Elite OZ; Elite Speed; Elite Bursts
Tim Stützle,OTT,17.8,23.5,98.0,244,99.0,46.6,96.0,Elite OZ; Elite Speed; Elite Bursts
Lane Hutson,MTL,17.8,23.0,95.0,112,98.0,46.2,96.0,Elite OZ; Elite Speed; Elite Bursts
Jake Sanderson,OTT,17.8,24.4,100.0,182,100.0,45.0,92.0,Elite OZ; Elite Speed; Elite Bursts
Dylan Cozens,OTT,17.8,23.7,99.0,133,93.0,48.0,99.0,Elite OZ; Elite Speed; Elite Bursts
Erik Karlsson,PIT,17.8,23.4,98.0,96,97.0,45.0,92.0,Elite OZ; Elite Speed; Elite Bursts
K'Andre Miller,CAR,17.8,23.2,97.0,57,91.0,45.8,94.0,Elite OZ; Elite Speed; Elite Bursts
Nathan MacKinnon,COL,16.7,23.1,89.0,297,100.0,46.3,94.0,Elite OZ; Above-avg Speed; Elite Bursts
Quinn Hughes,"VAN,MIN",16.7,22.5,86.0,113,99.0,46.4,96.0,Elite OZ; Above-avg Speed; Elite Bursts
Evan Bouchard,EDM,15.5,22.0,64.0,57,91.0,47.2,99.0,Elite OZ; Elite Bursts
Carter Verhaeghe,FLA,15.5,22.4,62.0,132,93.0,46.2,94.0,Elite OZ; Elite Bursts
Seth Jarvis,CAR,12.2,23.4,95.0,121,90.0,47.7,99.0,Elite OZ; Elite Speed
Martin Necas,COL,11.4,23.2,92.0,229,99.0,44.9,86.0,Above-avg OZ; Elite Speed; Elite Bursts
Zach Werenski,CBJ,11.4,23.1,96.0,97,98.0,43.4,78.0,Above-avg OZ; Elite Speed; Elite Bursts
Cale Makar,COL,11.4,23.7,99.0,158,99.0,44.6,87.0,Above-avg OZ; Elite Speed; Elite Bursts
Nick Schmaltz,UTA,11.4,23.2,92.0,145,96.0,45.0,86.0,Above-avg OZ; Elite Speed; Elite Bursts
Kirill Marchenko,CBJ,11.4,23.4,94.0,199,98.0,43.3,65.0,Above-avg OZ; Elite Speed; Elite Bursts
Roope Hintz,DAL,11.4,23.6,98.0,255,99.0,44.9,84.0,Above-avg OZ; Elite Speed; Elite Bursts
Matthew Schaefer,NYI,11.4,23.1,96.0,202,100.0,43.3,78.0,Above-avg OZ; Elite Speed; Elite Bursts
Brayden Point,TBL,11.4,23.5,96.0,199,98.0,43.9,73.0,Above-avg OZ; Elite Speed; Elite Bursts
Jake DeBrusk,VAN,11.4,23.5,97.0,124,91.0,43.7,71.0,Above-avg OZ; Elite Speed; Elite Bursts
Sam Malinski,COL,11.4,22.9,94.0,87,96.0,43.8,81.0,Above-avg OZ; Elite Speed; Elite Bursts
Jason Robertson,DAL,11.1,22.5,68.0,42,46.0,45.6,90.0,Elite OZ; Above-avg Speed
Sidney Crosby,PIT,11.1,22.9,83.0,115,88.0,46.2,94.0,Elite OZ; Above-avg Speed
Cole Caufield,MTL,11.1,22.6,70.0,70,70.0,45.9,92.0,Elite OZ; Above-avg Speed
Clayton Keller,UTA,11.1,22.8,81.0,116,88.0,46.4,95.0,Elite OZ; Above-avg Speed
Andrei Svechnikov,CAR,11.1,23.0,87.0,99,83.0,48.8,100.0,Elite OZ; Above-avg Speed
Rasmus Dahlin,BUF,11.1,22.5,85.0,45,86.0,44.9,91.0,Elite OZ; Above-avg Speed
Ryan Nugent-Hopkins,EDM,11.1,22.8,80.0,41,44.0,46.3,95.0,Elite OZ; Above-avg Speed
Nikolaj Ehlers,CAR,11.1,23.0,89.0,118,89.0,46.8,97.0,Elite OZ; Above-avg Speed
Steven Stamkos,NSH,11.1,23.0,85.0,89,80.0,46.1,93.0,Elite OZ; Above-avg Speed
Zach Hyman,EDM,11.1,23.1,89.0,80,75.0,49.0,100.0,Elite OZ; Above-avg Speed
Jordan Kyrou,STL,11.1,22.7,77.0,92,81.0,45.9,92.0,Elite OZ; Above-avg Speed
Michael Bunting,NSH,11.1,22.5,68.0,55,58.0,46.1,93.0,Elite OZ; Above-avg Speed
Taylor Hall,CAR,11.1,22.7,76.0,107,85.0,46.5,96.0,Elite OZ; Above-avg Speed
Brandt Clarke,LAK,11.1,22.0,65.0,16,52.0,45.0,91.0,Elite OZ; Above-avg Speed
Nick Suzuki,MTL,10.3,22.8,81.0,140,95.0,44.8,84.0,Above-avg OZ; Above-avg Speed; Elite Bursts
Jack Eichel,VGK,10.3,23.0,87.0,254,99.0,44.4,79.0,Above-avg OZ; Above-avg Speed; Elite Bursts
Cutter Gauthier,ANA,10.3,23.0,86.0,165,97.0,43.4,68.0,Above-avg OZ; Above-avg Speed; Elite Bursts
Dylan Guenther,UTA,10.3,23.0,87.0,158,97.0,44.9,85.0,Above-avg OZ; Above-avg Speed; Elite Bursts
Beckett Sennecke,ANA,10.3,22.6,72.0,150,96.0,43.4,67.0,Above-avg OZ; Above-avg Speed; Elite Bursts
Jakob Chychrun,WSH,10.3,22.5,84.0,75,95.0,44.5,86.0,Above-avg OZ; Above-avg Speed; Elite Bursts
Jackson LaCombe,ANA,10.3,22.6,88.0,71,94.0,43.2,76.0,Above-avg OZ; Above-avg Speed; Elite Bursts
Morgan Rielly,TOR,10.3,22.7,89.0,55,90.0,44.3,85.0,Above-avg OZ; Above-avg Speed; Elite Bursts
Luke Hughes,NJD,10.3,22.7,89.0,72,95.0,43.1,73.0,Above-avg OZ; Above-avg Speed; Elite Bursts
Nikita Kucherov,TBL,10.0,22.4,64.0,97,83.0,45.7,91.0,Elite OZ
Kirill Kaprizov,MIN,10.0,22.1,45.0,55,58.0,45.7,91.0,Elite OZ
Sebastian Aho,CAR,10.0,22.2,51.0,100,83.0,47.7,99.0,Elite OZ
Artemi Panarin,NYR,10.0,21.9,35.0,46,49.0,46.5,95.0,Elite OZ
Mark Stone,VGK,10.0,21.6,24.0,24,31.0,46.6,96.0,Elite OZ
Ryan O'Reilly,NSH,10.0,22.1,49.0,50,54.0,45.7,92.0,Elite OZ
Darren Raddysh,TBL,10.0,21.2,30.0,35,77.0,45.1,92.0,Elite OZ
Brad Marchand,FLA,10.0,22.4,62.0,97,83.0,45.9,93.0,Elite OZ
Drake Batherson,OTT,10.0,21.9,34.0,104,85.0,48.3,99.0,Elite OZ
Tomas Hertl,VGK,10.0,22.0,39.0,37,41.0,46.7,97.0,Elite OZ
Ivan Demidov,MTL,10.0,22.4,62.0,109,86.0,45.7,92.0,Elite OZ
Filip Forsberg,NSH,10.0,21.8,31.0,28,35.0,46.6,97.0,Elite OZ
Sam Bennett,FLA,10.0,22.2,54.0,68,68.0,45.7,91.0,Elite OZ
Pavel Dorofeyev,VGK,10.0,22.4,64.0,46,49.0,46.5,95.0,Elite OZ
Luke Evangelista,NSH,10.0,22.4,62.0,49,53.0,47.6,98.0,Elite OZ
Shayne Gostisbehere,CAR,10.0,21.7,54.0,11,38.0,48.8,100.0,Elite OZ
Roman Josi,NSH,10.0,21.4,39.0,37,80.0,46.2,96.0,Elite OZ
Brady Tkachuk,OTT,10.0,21.8,32.0,27,33.0,49.7,100.0,Elite OZ
William Eklund,SJS,10.0,22.3,57.0,77,73.0,46.0,93.0,Elite OZ
Alexis Lafrenière,NYR,10.0,22.1,49.0,78,74.0,45.6,90.0,Elite OZ
