team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2025,NYI,NYI,Team Level,other,58,0.54,0.55,0.56,9920,151.6,30.95,10.72,28.3,5.29,78.89,51.86,28.85,30.95,28.85,139,67,64,270,26,19,1,21,1,71,68,113,180,4,8,121,18,21,33,111,50,45,4.43,6.22,20.29,7,8,11,270,206,206,16,3.01,5.31,5.31,28.65,28.65,27.54,116.14,26.09,8.74,20.31,4.15,63.47,37.23,24.4,26.09,24.4,101,59,61,221,27,11,2,15,2,61,44,74,133,7,14,92,26,19,34,84,39,37,3.12,4.9,18.07,8,5,14,221,160,160,17,2.51,3.83,3.83,24.78,24.78,23.4
NYI,2025,NYI,NYI,Team Level,all,58,0.48,0.49,0.49,212282,1783.77,173.61,123.93,434.08,61.93,960.25,687.2,165.03,173.66,165.1,1594,847,860,3301,165,207,19,351,2,858,858,1429,2276,180,381,1649,1077,258,859,1797,458,186,53.72,56.27,63.62,70,53,42,3303.7,2441,2439.21,427,27.73,42.77,43.05,158.29,158.27,154.27,1855.51,191.75,134.41,440.77,62.24,975.01,696.82,181.25,192.27,181.76,1620,881,950,3451,157,233,12,306,6,913,886,1463,2344,194,416,1529,1133,270,903,1752,516,233,53.63,63.81,74.32,58,60,39,3456.88,2501,2508.11,405,30.2,46.66,46.66,175.29,175.69,170.35
NYI,2025,NYI,NYI,Team Level,5on5,58,0.47,0.48,0.49,171507,1346.26,111.02,86.99,346.69,46.44,724.92,531.93,107.27,111.08,107.34,1195,653,677,2525,108,153,16,280,1,651,655,1087,1740,158,338,1229,1039,209,742,1423,322,103,41.53,39.85,29.63,55,36,17,2527.7,1848,1846.21,384,18.06,29.96,30.24,98.83,98.81,97.34,1427.43,127.64,96.85,355.86,47.88,753.56,555.2,122.14,128.17,122.65,1243,694,786,2723,102,172,6,253,3,703,704,1141,1835,169,363,1200,1060,224,786,1410,391,136,43.59,48.19,35.87,47,46,9,2728.88,1937,1944.11,355,20.2,32.1,32.19,115.66,116.06,113.56
NYI,2025,NYI,NYI,Team Level,4on5,58,0.11,0.13,0.15,14892,43.79,4.17,2.41,7.03,1.62,14.71,30.07,4.15,4.17,4.15,45,15,4,64,6,2,0,4,0,11,37,39,54,5,10,140,16,21,30,43,14,3,1.5,1.86,0.81,2,2,2,64,60,60,25,0.54,0.25,0.25,4.47,4.47,4.45,268.62,33.53,26.81,58.45,8.97,146.03,76.21,30.33,33.53,30.33,237,113,95,445,23,45,3,38,1,134,109,214,327,14,28,117,17,7,50,227,70,53,6.22,8.65,18.66,3,5,15,445,350,350,4,7.02,9.74,9.65,30.89,30.89,29.45
NYI,2025,NYI,NYI,Team Level,5on4,58,0.86,0.88,0.86,15963,242.11,27.48,23.81,52.06,8.58,141.73,73.35,24.77,27.48,24.77,215,112,115,442,25,33,2,46,0,125,98,190,302,13,25,159,4,7,54,220,72,35,6.25,8.34,12.89,6,7,12,442,327,327,2,6.13,7.26,7.26,26.35,26.35,24.95,43.32,4.48,2,6.14,1.25,11.95,28.18,4.38,4.48,4.38,39,15,8,62,5,5,1,0,0,15,29,34,49,4,11,120,30,20,33,31,16,7,0.7,2.07,1.71,0,4,1,62,54,54,29,0.47,1,1,3.95,3.95,3.93
NYR,2025,NYR,NYR,Team Level,other,57,0.37,0.52,0.5,6474,108.11,19.65,8.92,20.63,4.06,64.91,33.83,17.99,19.65,17.99,90,62,61,213,21,11,3,19,0,65,36,69,131,6,12,86,9,7,23,88,33,31,3.2,3.97,12.47,4,7,10,213,152,152,12,2.75,2.49,2.49,19.92,19.92,18.35,110.01,33.94,7.56,17.61,3.85,57.07,33.96,31.58,33.94,31.58,93,61,45,199,30,9,1,4,0,62,49,63,124,2,4,66,11,4,19,70,38,46,2.65,4.67,26.62,3,3,24,199,154,154,7,2.14,2.7,2.04,34.04,34.04,32.66
NYR,2025,NYR,NYR,Team Level,all,57,0.46,0.49,0.48,207717,1692.52,160.13,120.03,408.33,58.34,925.41,648.77,153.07,160.93,153.82,1452,869,958,3279,149,173,19,299,4,882,814,1303,2172,194,418,1713,1500,251,843,1705,445,171,48.58,53.33,58.23,55,50,44,3266.28,2321,2318.56,411,27.22,33.95,34.03,153.33,153.95,149.29,1841.87,188.48,126.86,441.16,62.05,992.57,707.89,178.26,189.35,179.06,1641,878,940,3459,180,202,29,286,3,893,955,1461,2339,162,356,1432,1113,262,868,1863,458,198,56.68,56.28,75.52,61,57,62,3494.65,2519,2541.47,433,28.18,43.11,43.47,173.18,173.82,168.81
NYR,2025,NYR,NYR,Team Level,5on5,57,0.48,0.48,0.48,171883,1295.53,105.31,85.67,329.79,44.74,702.77,512.72,102.1,106.1,102.85,1113,668,799,2580,96,136,14,245,4,667,633,1017,1685,182,391,1337,1433,209,727,1350,339,92,38.65,40.45,26.21,49,37,10,2567.28,1781,1778.56,367,17.83,26.17,26.25,96.89,97.51,96.21,1428.76,114.23,92.7,360.78,48.17,774.47,570.64,110.2,115.09,110.99,1268,693,783,2744,112,147,17,235,3,691,773,1156,1849,146,321,1110,1066,238,758,1535,324,102,46.09,40.04,28.1,51,44,17,2779.65,1961,1983.47,391,19.22,28.38,28.71,104.74,105.38,103.77
NYR,2025,NYR,NYR,Team Level,4on5,57,0.1,0.11,0.13,15819,40.58,3.9,2.14,5.77,1.22,12.27,26.69,3.74,3.9,3.74,40,12,5,57,3,1,0,2,0,10,36,37,49,6,15,138,47,18,40,32,15,5,0.78,1.84,1.29,1,1,1,57,52,52,28,0.49,0.25,0.25,4.13,4.13,4.02,263.39,35.32,24.34,57.11,8.75,149.14,78.35,31.85,35.32,31.85,239,114,107,460,31,40,10,42,0,139,101,208,322,8,17,158,14,6,55,227,84,42,6.8,9.91,18.6,4,8,19,460,353,353,4,6.3,10.8,11.5,30.12,30.12,28.12
NYR,2025,NYR,NYR,Team Level,5on4,57,0.86,0.88,0.87,13541,248.31,31.28,23.28,52.13,8.32,145.45,75.53,29.25,31.28,29.25,209,127,93,429,29,25,2,33,0,140,109,180,307,0,0,152,11,17,53,235,58,43,5.95,7.08,18.25,1,5,23,429,336,336,4,6.16,5.04,5.04,32.4,32.4,30.73,39.72,5,2.26,5.65,1.28,11.87,24.94,4.63,5,4.63,41,10,5,56,7,6,1,5,0,1,32,34,44,6,14,98,22,14,36,31,12,8,1.15,1.66,2.2,3,2,2,56,51,51,31,0.51,1.23,1.23,4.29,4.29,4.26
LAK,2025,LAK,LAK,Team Level,other,56,0.53,0.47,0.42,7312,104.07,27.69,8.01,17.16,3.54,54.51,30.08,24.6,27.69,24.6,86,55,69,210,22,9,4,9,2,64,35,64,119,5,10,102,26,13,34,66,34,41,2.66,4.18,20.85,4,2,16,210,141,141,8,2.31,3.56,3.56,26.43,26.43,23.67,140.47,24.43,11.05,27.67,4.8,76.67,46.39,21.74,24.43,21.74,132,59,46,237,25,8,1,29,0,75,54,107,166,6,12,121,14,16,23,98,63,30,4.1,7.75,12.58,5,9,11,237,191,191,3,3.3,1.83,1.83,25.9,25.9,23.28
LAK,2025,LAK,LAK,Team Level,all,56,0.5,0.52,0.51,206127,1768.27,166.83,123.32,429.21,59.73,951.16,694.75,156.87,166.61,156.67,1546,879,1038,3463,142,182,15,337,6,883,875,1404,2283,203,443,1556,1024,259,919,1829,423,173,52.38,51.2,63.25,48,54,40,3443.12,2425,2415.25,401,27.69,36.13,36.13,158.39,158.3,152.44,1690.65,164.63,118.6,405.49,57.58,898.4,655.3,154.5,165.07,154.93,1516,784,847,3147,155,181,12,334,0,810,820,1361,2145,190,418,1660,1108,267,827,1661,486,153,49.98,59.47,55.17,57,56,42,3161.91,2300,2312.3,351,27.17,34.65,34.65,157.16,157.68,151.64
LAK,2025,LAK,LAK,Team Level,5on5,56,0.52,0.53,0.52,166596,1390.33,107.55,91.46,353.56,46.66,746.84,560.92,103.86,107.33,103.67,1199,708,860,2767,92,135,9,284,3,688,705,1107,1815,175,385,1184,945,213,797,1489,329,89,42.91,39.95,24.7,38,44,10,2747.12,1907,1897.25,363,19.04,25.14,25.14,101.44,101.36,99.84,1265.35,100.64,83.46,317.85,42.74,679.2,510.1,97.58,101.08,98.01,1118,616,729,2463,88,131,8,248,0,632,635,1030,1646,169,372,1238,1043,210,704,1329,329,76,39.09,40.66,20.9,44,33,11,2477.91,1734,1746.3,311,17.37,24.67,24.7,93.31,93.84,92.58
LAK,2025,LAK,LAK,Team Level,4on5,56,0.11,0.15,0.16,16476,44.36,4.27,2.39,6.54,1.47,15.21,31.13,4.13,4.27,4.13,51,10,6,67,6,4,1,8,0,6,37,45,55,7,16,130,34,21,25,44,10,7,1.28,1.24,1.75,2,2,2,67,61,61,24,0.55,0.81,0.81,4.01,4.01,3.93,238.02,34.87,21.65,52.84,8.53,127.43,66.66,30.58,34.87,30.58,225,87,64,376,38,36,2,51,0,95,92,187,274,8,18,173,13,15,59,191,78,43,5.32,9.08,20.47,6,12,20,376,312,312,4,5.95,7.61,7.57,33.25,33.25,31.09
LAK,2025,LAK,LAK,Team Level,5on4,56,0.85,0.86,0.83,15743,229.53,27.32,21.45,51.95,8.07,134.59,72.62,24.28,27.32,24.28,210,106,103,419,22,34,1,36,1,125,98,188,294,16,32,140,19,12,63,230,50,36,5.53,5.83,15.96,4,6,12,419,316,316,6,5.79,6.62,6.62,26.49,26.49,24.99,46.8,4.69,2.44,7.13,1.51,15.11,32.14,4.61,4.69,4.61,41,22,8,71,4,6,1,6,0,8,39,37,59,7,16,128,38,26,41,43,16,4,1.48,1.98,1.22,2,2,0,71,63,63,33,0.55,0.54,0.54,4.69,4.69,4.68
CBJ,2025,CBJ,CBJ,Team Level,other,56,0.52,0.51,0.52,8013,133.56,28.57,8.84,23.92,4.35,67.31,47,26.83,28.57,26.83,125,55,50,230,26,8,1,19,2,71,54,99,154,1,2,99,25,17,26,103,40,37,4.15,4.6,19.82,1,8,17,230,180,180,11,2.63,2.14,2.14,29.06,29.06,27.44,122.69,26.23,8.86,21.86,4.11,66.25,40.69,22.96,26.23,22.96,103,65,54,222,24,14,0,15,0,58,57,79,144,6,12,97,21,15,23,87,44,37,3.73,5.43,17.07,6,5,13,222,168,168,8,2.58,5.39,5.39,23.43,23.43,22.51
CBJ,2025,CBJ,CBJ,Team Level,all,56,0.49,0.5,0.49,205050,1844.95,179.79,123.68,443.95,62.15,966.46,718.98,168.73,180.7,169.72,1669,826,951,3446,174,206,22,373,4,908,830,1495,2321,188,423,1659,1094,278,876,1853,443,199,55.48,54.14,70.17,66,63,45,3488.53,2495,2523.46,425,27.62,44.29,44.29,163.11,164.37,158.47,1882.03,184.5,129.94,453.77,63.05,1017.75,722.99,172.6,183.87,171.97,1695,877,904,3476,176,203,17,367,7,917,902,1519,2396,163,372,1596,975,265,866,1940,430,202,60.23,53.03,71.25,82,45,49,3450.02,2572,2557.1,412,29.03,47.66,47.66,165.88,165.35,160.45
CBJ,2025,CBJ,CBJ,Team Level,5on5,56,0.51,0.51,0.5,168562,1466.47,122.36,94.84,368.68,49.56,771.63,580.93,116.28,123.28,117.27,1309,679,808,2796,123,170,17,307,2,725,661,1186,1865,167,378,1314,1046,233,784,1529,329,130,45.26,41.12,35.99,60,49,14,2838.53,1988,2016.46,391,19.82,34.3,34.3,107.89,109.14,106.78,1449.19,117.81,93.48,368.94,48.62,780.19,577.95,112.54,117.18,111.91,1301,686,742,2729,115,143,11,306,5,726,692,1186,1872,147,337,1260,911,213,775,1570,300,117,47.07,37.34,33.39,67,30,18,2703.02,1987,1972.1,384,19.42,30.73,30.73,106.5,105.97,103.62
CBJ,2025,CBJ,CBJ,Team Level,4on5,56,0.08,0.12,0.13,15439,42.85,3.47,2.13,6.34,1.4,13.57,31.08,3.43,3.47,3.43,48,10,6,64,3,3,0,3,0,11,38,45,55,5,10,122,16,23,25,41,16,1,1.35,1.91,0.21,2,1,0,64,58,58,18,0.5,0.32,0.32,3.64,3.64,3.62,280.65,37.91,26.34,58.82,9.4,161.92,83.61,34.57,37.91,34.57,261,117,106,484,36,46,6,43,2,130,121,225,342,3,6,132,13,13,47,252,82,44,8.6,9.74,19.58,8,10,18,484,378,378,4,6.73,11.54,11.54,33.1,33.1,31.49
CBJ,2025,CBJ,CBJ,Team Level,5on4,56,0.91,0.9,0.87,13036,202.07,25.38,17.87,45,6.83,113.95,59.97,22.18,25.38,22.18,187,82,87,356,22,25,4,44,0,101,77,165,247,15,33,124,7,5,41,180,58,31,4.72,6.51,14.16,3,5,14,356,269,269,5,4.67,7.53,7.53,22.53,22.53,20.63,29.5,2.55,1.26,4.14,0.92,9.38,20.74,2.53,2.55,2.53,30,9,2,41,1,0,0,3,0,3,32,29,38,7,17,107,30,24,21,31,4,4,0.84,0.52,1.21,1,0,0,41,39,39,16,0.3,0,0,2.85,2.85,2.83
TOR,2025,TOR,TOR,Team Level,other,57,0.5,0.42,0.46,7053,103.46,27.35,6.83,17.73,3.36,48.58,36.14,25.31,27.35,25.31,91,49,33,173,30,9,0,16,1,37,47,61,110,4,8,96,17,10,26,68,35,37,3.06,4.3,19.99,5,7,18,173,140,140,7,1.97,3.15,3.15,26.18,26.18,24.84,120.43,27.47,8.46,21.54,4.09,59.71,41.73,25.72,27.47,25.72,111,52,74,237,25,7,1,12,0,66,53,86,138,2,2,61,16,16,16,79,46,38,3.76,5.81,17.89,3,7,15,237,163,163,7,2.55,2.23,2.23,27.78,27.78,26.16
TOR,2025,TOR,TOR,Team Level,all,57,0.49,0.46,0.46,208427,1733.91,167.78,119.26,416.85,57.51,912.85,662.74,160.07,167.76,160.05,1558,779,787,3124,187,172,20,331,5,756,886,1371,2150,170,368,1801,1291,269,945,1687,487,163,50.11,59.61,58.07,67,75,45,3117.26,2337,2333.94,451,26.56,32.34,32.34,162,162.13,158.01,1978.37,177.86,136.53,482.4,66.58,1073.42,772.22,169.78,179.27,171.09,1805,904,977,3686,193,198,20,378,4,986,950,1612,2516,163,358,1403,1022,257,913,2088,446,175,61.25,54.85,61.77,86,65,42,3714.29,2709,2727.36,421,30.58,36.39,37.71,170.74,171.76,166.59
TOR,2025,TOR,TOR,Team Level,5on5,57,0.48,0.46,0.46,174114,1377.78,112.06,90.08,344.54,45.56,728.27,540.5,107.96,112.03,107.94,1216,645,653,2514,131,133,17,271,4,609,713,1085,1730,156,340,1432,1236,224,858,1403,366,92,41.01,45.21,25.84,59,55,17,2507.26,1861,1857.94,420,18.79,24.56,24.56,106.29,106.42,104.67,1564.8,120.02,101.34,396.79,52.49,851.36,627.99,116.11,121.42,117.42,1419,731,810,2960,142,143,15,319,3,774,769,1277,2008,154,344,1132,983,213,827,1711,337,102,49.76,41.55,28.72,77,51,14,2988.29,2150,2168.36,388,21.04,26.17,26.79,114.28,115.29,113.27
TOR,2025,TOR,TOR,Team Level,4on5,57,0.11,0.1,0.12,14128,34.9,3.27,1.83,5.28,1.14,11.37,23.1,3.18,3.27,3.18,38,8,2,48,3,1,0,2,0,10,30,35,43,5,10,143,26,21,25,30,12,4,0.93,1.32,1.02,1,2,0,48,46,46,22,0.42,0.21,0.21,3.48,3.48,3.46,260.69,27.47,25.03,58.93,8.95,151.71,79.91,25.17,27.47,25.17,240,112,88,440,22,46,4,45,1,140,98,218,330,5,8,103,7,8,44,264,56,32,6.63,6.66,14.16,4,5,13,440,352,352,7,6.61,7.24,7.94,26.14,26.14,24.64
TOR,2025,TOR,TOR,Team Level,5on4,57,0.9,0.89,0.87,13132,217.76,25.1,20.52,49.32,7.44,124.62,63,23.61,25.1,23.61,213,77,99,389,23,29,3,42,0,100,96,190,267,5,10,130,12,14,36,186,74,30,5.11,8.77,11.22,2,11,10,389,290,290,2,5.37,4.43,4.43,26.06,26.06,25.05,32.46,2.91,1.7,5.13,1.04,10.63,22.59,2.79,2.91,2.79,35,9,5,49,4,2,0,2,0,6,30,31,40,2,4,107,16,20,26,34,7,3,1.09,0.82,0.99,2,2,0,49,44,44,19,0.38,0.75,0.75,2.54,2.54,2.53
SEA,2025,SEA,SEA,Team Level,other,56,0.52,0.5,0.52,7382,116.95,26.4,8.82,21.55,4.19,63.48,38.56,25.52,26.4,25.52,115,48,43,206,28,11,2,26,0,55,43,87,135,3,6,92,15,12,22,81,51,31,3.27,6.15,16.99,3,7,18,206,163,163,9,2.61,1.96,1.96,27.05,27.05,26.23,108.72,24.6,7.86,20.12,3.89,56.92,37.62,23.25,24.6,23.25,87,64,58,209,22,14,2,15,0,61,39,65,129,5,10,85,17,13,29,74,39,38,3.06,4.7,16.83,3,3,16,209,151,151,11,2.24,2.84,2.84,24,24,22.92
SEA,2025,SEA,SEA,Team Level,all,56,0.47,0.46,0.46,204792,1596.2,156.77,112.18,385.79,54.39,870.72,609.14,149.86,156.6,149.72,1420,769,816,3005,161,157,30,334,2,751,784,1259,2028,180,389,1486,1035,262,860,1657,371,161,50.64,45.06,61.08,59,41,61,2996.17,2189,2183.04,391,25.32,36.65,36.69,145.41,145.31,142.31,1865.35,175.59,130.39,456.2,64.16,1020.94,727.77,167.72,175.93,168.05,1638,938,1010,3586,161,216,15,368,4,961,866,1477,2415,179,387,1629,1132,265,884,1958,415,203,55.43,50.69,69.46,51,50,60,3598.33,2576,2585.23,390,29.07,38.94,39.02,165.64,165.93,161.29
