statistic,yoy_correlation,regression_weight,shrinkage_factor,n_pairs,p_value,ci_lower,ci_upper,y1_mean,y2_mean,y1_std,y2_std
blocks_pg,0.8677165863502807,0.8677165863502807,0.1322834136497193,1684,0.0,0.8554041800891556,0.8790489292170304,0.7644601032167575,0.8029020816595425,0.5274171102618915,0.5465626741412023
hits_per60,0.8619471906541025,0.8619471906541025,0.13805280934589748,1684,0.0,0.8491411661429897,0.873740369530323,4.962753693427466,4.9003611011371255,3.753991611642492,3.9121476767495165
toi_per_game,0.8456564533362688,0.8456564533362688,0.15434354666373118,1684,0.0,0.8314760451875598,0.8587356881420306,1009.857516049465,1009.2022345395508,223.836501606518,230.3859022184321
blocks_per60,0.8300535732054415,0.8300535732054415,0.1699464267945585,1684,0.0,0.8145836540213425,0.84434350220751,2.6310790877361803,2.771744213504165,1.5081698399885453,1.5648837299476075
hits_pg,0.8283283609851654,0.8283283609851654,0.17167163901483462,1684,0.0,0.8127174701557729,0.8427508895017346,1.2831399046228653,1.2460452147608803,0.804139598352949,0.80995557697063
shots_pg,0.8214123485617941,0.8214123485617941,0.17858765143820587,1684,0.0,0.8052395462659098,0.8363639047428473,1.7872411246202013,1.7368566028033996,0.7528419484701924,0.7766870179792564
shots_per60,0.8149929886953905,0.8149929886953905,0.1850070113046095,1684,0.0,0.7983032274522697,0.8304319471212569,6.388843341509982,6.205003476092882,2.2501366303381896,2.3083500980137117
dk_fpts_pg,0.8049786394059685,0.8049786394059685,0.19502136059403152,1684,0.0,0.7874912444804719,0.8211709610509125,6.894197312062089,6.946714130745403,2.964747979829376,3.1230240754642757
assists_pg,0.7404233260056254,0.7404233260056254,0.25957667399437456,1684,1.6123526851188387e-292,0.7180515294305736,0.7612666509252749,0.29924715847693123,0.3020205771123817,0.18674267225694255,0.19267595695510342
goals_pg,0.734836592316985,0.734836592316985,0.26516340768301505,1684,6.515437668061034e-286,0.7120629583811892,0.7560656423624023,0.1794707229428121,0.1782504380575386,0.1368917032022023,0.14115082536782986
goals_per60,0.695723426735821,0.695723426735821,0.304276573264179,1684,5.789562795130212e-244,0.6702290983819328,0.7195777197338583,0.6440187782390218,0.634736643856926,0.44791071398438687,0.4540331714507402
pim_pg,0.6776117038199685,0.6776117038199685,0.3223882961800315,1684,9.335748009657913e-227,0.6509122564983117,0.7026369023903017,0.47382129751874097,0.4917380554770682,0.32913871196690714,0.33552334453592275
pp_goals_pg,0.6536537364110477,0.6536537364110477,0.34634626358895226,1684,8.193978017457202e-206,0.6254131769709179,0.680184124750648,0.03595861909225782,0.0360209023653725,0.052219327174278,0.05335015227779344
assists_per60,0.6501798798617905,0.6501798798617905,0.3498201201382095,1684,6.206606939144854e-203,0.6217208624705719,0.6769243800892814,1.0281027895414365,1.0322649734373333,0.5253136270775729,0.5349829455813181
pp_goals_per60,0.6199483367734806,0.6199483367734806,0.3800516632265194,1684,2.1593953580727987e-179,0.5896414840811831,0.6485118038713203,0.12003809977906879,0.11915766276064378,0.1685797309087897,0.17199301198442749
pp_assists_pg,0.10133408404829326,0.10133408404829326,0.8986659159517068,1684,3.099322995934062e-05,0.053826138557075374,0.14838431344216785,0.0013716019577639377,0.08202511939189189,0.032295059050259055,0.16646634256142595
pp_assists_per60,0.07425055419524001,0.07425055419524001,0.9257494458047599,1684,0.002296543225549217,0.02657632103721875,0.12158779711263898,0.0037755098644756146,0.2747694063734303,0.07716637747319181,0.5225861889935636
